Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
,1,0,1,141,0,2,1,6,3,62,17,0,0,2,1,32,0,4,,,0,247,0,12,0,0,19,5,0,4,13,0,0,0,1,2,1,2,5,3,22,,24,19,7,1,3,0,1,5,14,71,8,3,78,4,32,3,0,,4,,2,3,4,1
0,,7,1,6,1,0,3,9,0,0,3,48,0,21,1,1,1,2,,,2,64,37,0,1,14,2,3,65,3,56,2,1,3,0,1,6,2,0,1,1,,2,0,17,19,0,1,6,0,118,0,14,2,5,100,4,1,0,,4,,9,1,1,19
1,0,,0,0,0,0,0,2,0,4,0,6,0,7,4,1,2,1,,,0,5,0,0,2,2,0,3,0,0,49,5,0,0,0,0,0,1,4,1,0,,1,0,0,5,1,0,1,0,0,0,0,0,1,0,1,0,0,,0,,0,0,0,5
4,0,0,,10,1,1,0,0,5,1,1,0,149,0,7,1,1,0,,,0,105,0,5,1,1,1,12,0,3,2,0,0,0,14,0,0,0,13,3,0,,1,17,0,1,0,0,0,15,0,4,2,0,2,0,5,0,0,,2,,1,1,0,2
123,7,2,0,,1,1,1,2,6,43,34,0,16,5,3,85,0,7,,,0,584,8,29,3,7,71,21,1,15,59,2,2,0,5,9,4,2,7,11,210,,80,29,72,15,9,1,1,8,9,22,7,2,89,1,22,9,0,,37,,5,4,19,9
6,0,1,8,8,,0,0,0,13,0,0,2,5,0,8,0,0,0,,,0,163,1,14,0,2,0,7,0,1,5,0,0,0,21,12,2,0,1,0,0,,2,6,3,6,0,1,0,3,5,3,0,0,14,0,4,1,0,,0,,0,34,0,7
5,1,0,1,0,0,,0,0,1,5,1,0,5,3,0,5,0,1,,,0,54,1,2,0,1,0,1,1,0,4,0,0,0,0,1,0,0,4,2,1,,0,124,0,3,19,0,0,2,0,18,2,0,5,0,8,26,0,,2,,0,0,2,0
0,2,2,0,0,2,0,,6,0,0,2,6,2,11,3,3,21,44,,,4,38,6,0,10,7,5,6,3,2,108,49,1,10,0,4,2,41,2,0,0,,0,11,6,5,7,0,7,0,21,0,25,2,6,24,0,5,0,,0,,2,1,1,0
0,4,7,0,6,1,1,3,,0,0,1,3,2,19,0,5,0,7,,,0,66,2,0,8,75,4,1,2,3,170,3,11,21,1,0,1,10,0,3,2,,2,6,5,32,0,0,24,0,34,0,94,4,1,8,3,0,1,,5,,8,2,0,0
2,0,0,10,2,9,0,0,0,,0,0,0,6,0,7,3,0,0,,,0,117,1,1,0,0,0,6,1,3,1,0,0,0,29,4,1,0,0,0,2,,11,9,0,5,0,0,0,8,0,1,1,0,8,1,1,4,0,,0,,0,3,2,3
41,0,1,0,33,2,1,0,0,1,,47,1,2,0,4,253,0,2,,,2,165,0,5,1,0,19,1,0,3,9,0,0,0,0,0,0,0,7,5,18,,14,4,4,2,9,0,0,0,3,190,2,3,4,2,14,32,2,,8,,1,1,4,0
15,4,0,1,40,3,5,0,2,0,71,,6,1,7,0,361,0,0,,,0,115,0,2,0,7,69,8,7,6,23,0,1,0,1,2,1,2,4,7,13,,6,2,5,2,2,0,4,0,5,16,11,2,6,14,6,15,2,,13,,1,2,3,1
1,45,4,1,1,0,0,0,2,0,0,0,,1,115,2,0,11,4,,,0,41,4,0,4,7,0,0,69,0,94,1,4,6,0,1,0,3,0,4,0,,2,0,2,5,0,0,5,0,23,0,11,0,2,101,0,0,1,,0,,1,1,0,2
5,0,0,220,15,2,5,0,2,1,9,3,0,,1,24,20,0,5,,,0,230,3,10,6,9,9,22,0,4,13,0,0,0,44,5,0,0,8,0,4,,9,80,3,2,14,1,0,49,5,16,2,2,15,1,13,6,1,,0,,1,17,4,5
0,15,3,0,3,0,0,6,12,0,0,1,118,2,,4,4,35,8,,,0,78,2,0,4,9,1,2,36,0,109,11,1,5,0,1,0,5,0,1,0,,5,0,7,12,0,4,1,1,22,2,22,6,0,29,0,0,7,,1,,6,0,0,2
3,1,0,21,14,15,1,0,0,6,8,1,1,33,2,,3,1,2,,,0,143,1,5,0,2,0,3,2,4,5,0,0,0,52,13,0,0,3,0,12,,9,10,0,0,0,0,0,11,3,6,0,2,3,0,10,0,0,,0,,0,55,1,5
30,1,1,2,115,4,9,0,2,1,187,358,8,11,8,2,,1,1,,,7,412,1,6,1,12,63,16,4,5,51,1,0,0,5,1,0,1,5,16,52,,16,16,11,2,9,0,2,4,9,60,7,2,21,8,23,95,1,,15,,1,0,10,0
0,5,0,0,1,0,0,11,6,0,3,1,12,1,47,1,0,,13,,,0,11,0,0,5,6,0,0,2,1,70,44,0,2,0,0,0,5,0,0,2,,0,1,2,0,0,0,1,0,3,0,2,0,2,14,5,0,1,,0,,4,0,0,0
2,1,5,0,2,0,0,31,12,0,2,0,2,1,15,0,13,8,,,,1,64,0,1,99,6,5,2,0,6,171,9,1,25,0,0,0,45,0,0,1,,4,0,2,3,0,1,11,0,12,1,58,6,8,16,0,0,4,,4,,6,0,0,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0,0,0,0,0,3,0,1,0,0,0,2,0,1,0,1,,,,39,0,0,2,14,0,0,0,0,20,0,15,0,0,0,1,0,0,0,1,,0,0,0,4,0,0,22,0,5,0,79,1,0,1,0,0,0,,0,,1,1,0,0
