Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
,5,0,3,203,1,4,0,,2,93,16,0,4,0,0,36,0,2,,0,,260,0,24,0,4,13,35,0,3,17,0,,0,1,1,1,0,10,5,56,,26,18,15,1,21,0,,8,7,90,1,1,105,2,60,10,1,,16,,0,0,8,1
0,,1,0,10,1,0,0,,0,3,2,55,1,32,5,2,3,6,,9,,78,55,1,1,8,1,4,78,7,79,0,,0,0,1,22,9,0,1,3,,12,3,13,29,3,1,,2,166,0,12,1,3,94,1,1,0,,5,,3,0,3,7
0,1,,0,1,0,2,3,,0,0,2,4,1,13,0,1,5,0,,1,,14,1,0,0,2,0,1,0,1,58,1,,0,0,1,0,2,1,0,0,,1,1,0,0,0,2,,0,1,0,7,2,1,6,0,1,1,,0,,1,1,0,0
7,0,0,,17,6,3,0,,11,2,1,0,273,0,20,6,0,0,,1,,85,0,3,1,1,2,10,0,3,7,0,,0,30,0,1,0,5,0,5,,4,30,0,4,3,0,,29,1,2,3,0,6,0,5,2,0,,0,,0,8,0,4
228,6,0,6,,10,4,3,,5,48,37,2,19,10,6,94,0,5,,1,,587,17,27,4,17,65,30,1,20,51,1,,0,3,7,5,0,17,28,418,,114,28,85,5,7,0,,10,16,27,11,5,160,9,36,20,1,,42,,10,3,34,10
7,3,0,7,17,,0,0,,22,1,0,0,3,0,25,3,0,1,,1,,156,1,7,4,0,2,10,1,9,7,0,,0,21,13,1,0,4,0,6,,2,3,2,2,4,0,,11,0,2,1,0,9,1,7,1,0,,0,,1,20,1,10
5,0,0,1,15,5,,0,,1,0,0,0,21,2,6,12,2,0,,3,,61,2,2,3,0,3,7,0,2,16,0,,0,2,14,1,0,7,2,2,,0,136,0,1,30,0,,3,6,47,5,1,3,0,29,43,0,,0,,1,4,0,4
0,0,3,0,1,0,0,,,0,1,0,4,4,4,0,2,8,63,,12,,22,0,0,13,8,0,0,4,0,195,16,,4,0,0,0,52,0,0,0,,0,0,1,8,0,0,,0,17,10,33,2,1,14,5,1,0,,0,,3,0,0,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,1,10,8,10,0,0,,,3,3,0,6,0,9,2,0,0,,0,,158,1,3,0,0,1,11,0,3,3,0,,0,38,11,0,0,6,1,0,,3,7,1,0,1,0,,15,1,0,0,0,10,1,8,3,0,,0,,1,9,0,2
