Groningen Municipality level migration,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Appingedam,Bedum,Bellingwedde,Ten Boer,Delfzijl,Eemsmond,Groningen,Grootegast,Haren,Hoogezand-Sappemeer,Leek,Loppersum,De Marne,Marum,Menterwolde,Midden-Groningen,Oldambt,Pekela,Slochteren,Stadskanaal,Veendam,Vlagtwedde,Westerwolde,Winsum,Zuidhorn
,Vlagtwedde,3,1,36,1,12,1,97,1,1,8,3,0,0,0,6,,38,15,5,128,17,,,1,1
,Westerwolde,,,,,,,,,,,,,,,,,,,,,,,,,
,Winsum,4,20,1,5,2,37,200,1,14,4,4,8,41,2,4,,4,0,3,1,1,1,,,14
,Zuidhorn,2,2,0,4,2,9,248,49,8,8,64,4,11,2,2,,12,2,2,4,8,1,,11,
,Begindatum voor 1830 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Appingedam,Bedum,Bellingwedde,Ten Boer,Delfzijl,Eemsmond,Groningen,Grootegast,Haren,Hoogezand-Sappemeer,Leek,Loppersum,De Marne,Marum,Menterwolde,Midden-Groningen,Oldambt,Pekela,Slochteren,Stadskanaal,Veendam,Vlagtwedde,Westerwolde,Winsum,Zuidhorn
regio van aankomst,Appingedam,1,1,5,149,7,105,0,5,12,3,14,0,0,13,,17,0,15,4,5,0,,1,2,
,Bedum,8,,0,13,5,8,163,1,14,7,1,21,12,2,1,,6,0,3,3,4,1,,34,7
,Bellingwedde,1,0,,1,5,0,54,1,2,1,0,0,1,0,4,,124,19,2,18,8,26,,0,0
,Ten Boer,10,9,0,,6,7,117,1,1,6,3,29,4,1,0,,9,0,8,1,1,4,,3,3
,Delfzijl,220,2,5,1,,24,230,3,10,22,4,44,5,0,8,,80,14,49,16,13,6,,17,5
,Eemsmond,21,15,1,6,33,,143,1,5,3,4,52,13,0,3,,10,0,11,6,10,0,,55,5
,Groningen,69,154,30,141,126,94,,40,649,271,265,98,67,67,48,,154,22,157,92,185,53,,162,315
,Grootegast,0,2,1,3,0,1,79,,4,4,29,0,5,37,2,,1,1,1,6,0,0,,0,83
,Haren,3,7,2,8,4,2,436,0,,25,9,1,1,6,3,,10,0,8,2,3,1,,1,11
,Hoogezand-Sappemeer,14,2,7,2,17,4,379,1,25,,15,10,7,5,37,,50,11,59,15,80,8,,11,8
,Leek,4,1,1,0,5,1,248,24,9,6,,0,1,75,7,,9,2,2,6,3,2,,1,36
,Loppersum,30,29,0,21,52,32,115,0,4,5,3,,6,7,0,,12,2,11,2,4,0,,13,1
,De Marne,0,21,1,1,2,24,105,3,5,10,9,3,,1,2,,5,0,6,0,0,0,,93,6
,Marum,1,1,6,0,1,0,83,29,5,3,81,1,0,,0,,6,1,0,0,1,1,,4,12
,Menterwolde,4,1,6,1,5,1,55,0,3,55,5,1,1,1,,,55,20,18,10,125,2,,0,6
,Midden-Groningen,,,,,,,,,,,,,,,,,,,,,,,,,
