Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
202,42,5,71,451,182,45,9,,135,95,77,26,153,53,80,256,13,37,106,,,,59,630,31,162,120,342,25,257,349,28,,29,121,78,65,25,72,88,117,,365,188,81,90,34,12,,232,203,92,180,14,713,47,157,49,8,,54,,27,170,52,289
0,44,1,1,11,7,6,0,,0,3,0,1,0,4,0,2,0,3,0,,,90,,3,0,7,0,4,4,30,14,0,,0,0,5,50,1,0,1,2,,18,4,8,9,0,0,,0,30,6,2,0,5,3,0,3,0,,0,,0,0,1,66
10,1,0,0,40,2,3,0,,0,0,2,0,9,0,1,5,0,3,2,,,478,1,,1,2,4,15,0,13,11,1,,0,2,1,1,2,6,0,2,,19,3,4,1,1,0,,10,3,5,1,3,104,2,5,5,0,,2,,0,5,2,5
0,5,1,1,0,0,0,16,,0,0,0,3,0,6,3,1,3,65,7,,,40,0,0,,8,0,1,2,1,95,2,,5,0,2,0,10,0,0,0,,1,0,5,2,0,0,,0,9,2,62,16,2,9,0,1,9,,1,,3,0,0,2
2,18,1,0,13,1,0,0,,0,0,4,4,0,5,1,7,4,17,208,,,205,4,0,9,,9,2,4,5,217,6,,6,1,1,0,10,0,14,1,,5,0,58,173,0,0,,1,80,0,97,5,6,26,1,1,3,,20,,121,2,2,2
11,2,1,1,44,0,0,2,,2,16,81,3,1,4,1,82,3,1,3,,,180,0,8,2,4,,7,0,0,26,0,,0,0,1,1,2,3,42,85,,11,7,8,5,1,0,,1,6,11,13,2,10,0,5,3,0,,34,,9,0,185,0
10,0,0,15,30,3,8,3,,1,16,4,0,23,0,2,11,0,1,7,,,342,0,21,0,2,3,,0,16,26,0,,1,5,1,4,0,69,0,7,,15,60,1,9,20,0,,71,13,6,1,0,39,0,69,3,0,,0,,0,6,1,7
0,68,1,2,0,0,0,3,,1,0,3,86,0,48,0,0,7,5,5,,,39,2,6,0,2,0,2,,2,55,1,,1,2,4,2,4,0,0,0,,1,0,1,2,3,2,,0,23,1,6,0,0,50,1,0,0,,2,,0,1,0,11
3,4,0,2,14,2,3,1,,1,4,4,3,12,0,3,5,0,2,3,,,271,54,8,1,5,0,19,3,,22,0,,0,3,5,99,1,4,1,9,,159,7,22,8,0,0,,2,20,1,1,3,16,6,3,1,0,,4,,0,2,0,38
10,49,53,6,37,1,5,77,,2,6,10,49,14,71,3,47,47,114,96,,,514,11,14,76,273,26,19,30,16,,159,,96,9,6,5,151,3,30,19,,43,9,43,80,4,3,,4,232,11,325,41,26,355,6,3,14,,14,,54,9,9,18
0,2,2,0,0,0,0,28,,1,0,1,1,0,5,0,0,18,8,4,,,21,0,1,8,17,1,0,1,1,201,,,3,0,0,0,20,0,0,0,,2,1,1,7,0,0,,0,10,0,12,6,1,11,0,0,0,,0,,3,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,0,0,0,0,3,,0,0,0,2,0,5,0,0,0,23,9,,,33,0,0,5,24,0,0,1,0,94,1,,,0,0,0,21,0,1,0,,0,0,2,10,0,0,,0,7,0,114,1,0,12,0,0,2,,4,,3,1,0,1
2,0,1,66,11,15,0,0,,19,4,1,0,26,0,43,6,0,0,0,,,137,0,4,0,1,1,5,0,3,3,0,,0,,5,0,0,2,0,0,,10,8,1,0,1,0,,7,0,3,2,0,11,1,0,3,0,,0,,0,6,0,4
1,1,0,5,4,14,0,0,,1,1,0,3,4,7,29,10,2,1,0,,,111,2,3,2,0,2,7,3,3,11,0,,0,6,,1,0,0,0,3,,4,4,7,2,1,0,,2,3,1,2,0,4,0,1,0,2,,0,,1,73,0,21
1,8,0,3,7,0,0,0,,0,0,0,1,0,0,1,0,0,0,0,,,95,60,3,0,6,0,3,1,84,8,0,,0,0,1,,0,0,0,1,,26,3,8,15,0,0,,0,48,2,1,2,3,1,2,1,0,,0,,0,0,0,14
0,1,3,0,0,0,5,52,,3,0,0,9,0,1,0,2,2,41,4,,,28,0,0,7,5,0,0,1,0,186,24,,19,0,0,1,,0,0,3,,0,1,2,8,0,1,,2,10,0,18,1,0,21,2,0,0,,1,,5,0,2,0
11,0,1,4,6,2,11,0,,7,3,4,0,7,0,0,7,4,0,1,,,102,0,1,0,0,1,44,0,5,5,0,,0,0,1,1,1,,0,0,,6,45,3,0,12,0,,27,0,5,2,0,6,1,131,4,0,,0,,0,3,0,5
5,0,0,0,14,0,0,0,,0,0,5,0,3,1,0,25,0,3,3,,,98,0,3,1,20,44,0,0,1,23,0,,1,0,1,0,0,1,,18,,1,0,6,2,1,0,,0,2,2,7,3,2,0,0,2,0,,91,,8,0,127,0
22,4,2,1,233,0,0,0,,1,10,37,3,0,1,0,47,0,4,4,,,169,3,5,0,2,103,4,3,11,21,0,,0,2,0,1,0,2,12,,,18,2,34,1,0,0,,4,10,6,4,0,17,10,4,2,0,,44,,5,5,25,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,5,1,4,108,4,5,0,,6,11,8,0,4,3,1,11,0,5,1,,,357,11,25,0,4,5,14,1,109,31,2,,1,1,2,12,0,2,2,28,,,8,30,9,2,2,,7,16,14,1,0,63,5,15,5,0,,7,,3,4,4,18
20,1,1,17,23,2,113,1,,1,7,11,0,53,0,7,29,1,0,2,,,253,3,8,1,2,11,52,4,15,16,0,,0,10,6,2,1,25,4,5,,7,,4,2,123,1,,22,6,50,3,1,14,1,82,34,1,,0,,1,10,2,4
2,9,0,1,57,3,1,3,,0,7,5,1,3,2,1,11,1,0,13,,,163,0,2,1,56,10,3,4,15,67,1,,0,3,3,19,0,1,5,29,,21,1,,48,4,2,,1,74,2,12,3,4,9,1,0,0,,29,,71,6,6,4
1,22,1,5,5,0,0,2,,1,2,1,6,2,6,0,1,0,4,41,,,129,4,6,3,168,7,5,2,8,68,4,,4,0,2,14,1,1,5,2,,14,5,78,,1,0,,0,261,0,25,1,2,23,1,1,2,,7,,26,0,0,4
6,0,0,4,12,7,60,0,,0,11,1,0,15,0,0,8,0,0,5,,,92,0,1,0,2,1,16,0,3,6,0,,0,1,13,1,0,13,0,0,,4,181,2,1,,0,,2,6,62,1,0,4,0,63,21,1,,0,,0,0,0,2
0,0,0,0,0,0,0,0,,0,0,0,1,0,6,5,1,1,0,0,,,17,0,1,0,0,0,1,2,1,5,0,,0,0,0,0,0,0,0,0,,0,0,1,0,0,,,1,4,0,0,1,1,2,0,0,0,,0,,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,1,21,6,6,2,0,,13,8,0,0,22,1,4,2,0,0,3,,,187,3,14,0,0,3,109,1,1,5,0,,0,6,2,0,0,24,0,1,,4,19,1,3,4,1,,,3,2,5,1,10,1,17,1,0,,1,,0,0,2,7
17,111,5,1,30,0,1,12,,0,4,8,31,3,29,1,22,14,15,45,,,282,29,1,13,102,34,6,21,17,234,9,,11,0,5,12,4,4,19,5,,26,13,70,273,0,1,,3,,0,41,2,12,149,4,2,3,,6,,24,0,16,11
41,0,0,1,41,2,13,0,,1,176,12,0,12,0,3,85,0,1,9,,,211,1,11,1,4,7,28,0,6,15,0,,0,0,3,5,0,15,1,1,,12,38,3,0,82,2,,3,8,,6,1,11,6,63,109,0,,5,,0,6,5,3
1,16,1,0,8,2,1,16,,0,10,2,7,0,7,0,6,5,85,234,,,276,1,0,74,93,5,0,6,2,373,10,,88,1,1,0,14,2,9,4,,3,6,24,21,0,0,,0,76,5,,27,5,27,1,0,8,,9,,29,0,3,5
0,2,0,0,3,0,0,1,,0,2,0,0,1,1,0,2,1,5,11,,,23,0,1,19,5,0,1,0,0,48,1,,2,1,0,0,1,1,2,0,,0,3,3,0,0,1,,3,6,2,19,,2,4,0,0,1,,0,,0,2,0,1
96,3,1,2,119,0,6,0,,2,10,5,0,11,1,7,31,0,6,6,,,535,0,108,0,5,6,33,1,13,33,0,,0,3,2,2,0,6,3,30,,90,8,7,1,5,1,,8,14,11,3,1,,1,14,2,0,,3,,1,5,2,8
0,112,2,1,0,4,0,2,,0,0,3,107,0,39,8,8,4,26,20,,,73,0,0,7,27,5,2,17,12,309,15,,14,0,6,2,8,0,3,9,,3,0,21,33,0,2,,0,135,0,31,3,5,,0,2,3,,6,,5,2,4,5
24,2,0,5,43,3,19,0,,1,11,4,0,24,0,1,16,0,0,2,,,226,3,12,0,1,12,59,0,4,15,0,,0,3,5,1,1,132,2,10,,14,65,1,1,73,0,,16,4,53,2,0,14,0,,7,0,,0,,0,1,0,1
20,2,0,1,8,1,39,31,,0,30,16,0,12,3,0,84,2,0,4,,,83,1,9,1,2,7,7,0,0,8,0,,0,1,1,2,1,3,1,3,,5,29,6,0,30,0,,0,26,103,1,0,5,0,21,,0,,14,,0,4,0,4
2,0,0,0,0,0,0,1,,0,1,0,3,0,2,0,1,0,8,2,,,10,0,0,9,4,0,0,0,0,19,0,,0,0,0,0,0,0,0,0,,0,0,5,0,0,0,,0,2,0,7,2,4,1,0,0,,,0,,1,2,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,27,2,0,0,,1,3,12,0,3,2,0,23,0,1,3,,,83,3,5,3,18,43,4,0,3,18,0,,0,0,0,1,0,0,107,19,,3,4,25,2,0,0,,2,1,1,2,2,0,0,1,4,1,,,,41,0,42,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,0,4,8,0,0,1,,0,1,5,0,0,1,0,2,1,2,17,,,63,0,3,5,75,2,0,2,2,76,1,,0,1,0,5,1,0,16,3,,3,0,53,22,0,0,,0,16,0,15,1,0,6,1,0,1,,37,,,1,2,0
1,0,0,1,12,28,1,0,,4,0,0,1,2,1,29,3,1,0,0,,,203,0,7,0,1,2,6,5,7,9,0,,0,7,62,0,0,2,0,6,,18,11,1,0,0,1,,0,0,2,0,1,12,1,1,2,2,,1,,0,,2,12
4,0,0,0,11,0,2,0,,2,1,15,0,0,0,0,13,0,0,0,,,86,0,0,0,1,170,2,0,0,15,0,,0,3,0,0,0,0,91,19,,3,1,4,0,0,0,,0,4,1,0,2,4,0,1,2,0,,41,,12,1,,0
5,8,0,3,13,7,0,0,,2,5,3,6,0,3,5,6,1,1,1,,,317,70,12,0,1,0,16,13,42,13,1,,0,2,2,7,0,3,3,3,,33,8,4,4,0,0,,0,12,1,4,0,12,4,11,3,1,,4,,0,24,0,
