from,to,Migration,year,gemeente fromnaamvolledig,provincie from
Boarnsterhim,Pekela,0,2012,Boarnsterhim,Friesland
Ten.Boer,Pekela,0,2012,Ten Boer,Groningen
Borger.Odoorn,Pekela,7,2012,Borger Odoorn,Drenthe
Coevorden,Pekela,1,2012,Coevorden,Drenthe
Dantumadiel,Pekela,0,2012,Dantumadiel,Friesland
Delfzijl,Pekela,15,2012,Delfzijl,Groningen
Dongeradeel,Pekela,2,2012,Dongeradeel,Friesland
Eemsmond,Pekela,0,2012,Eemsmond,Groningen
Emmen,Pekela,15,2012,Emmen,Drenthe
Ferwerderadiel,Pekela,0,2012,Ferwerderadiel,Friesland
Franekeradeel,Pekela,2,2012,Franekeradeel,Friesland
De.Friese.Meren,Pekela,NA,2012,De Friese Meren,Friesland
De.Fryske.Marren,Pekela,NA,2012,De Fryske Marren,Friesland
Gaasterlân.Sleat,Pekela,0,2012,Gaasterlân Sleat,Friesland
Groningen,Pekela,40,2012,Groningen,Groningen
Grootegast,Pekela,3,2012,Grootegast,Groningen
Haren,Pekela,1,2012,Haren,Groningen
Harlingen,Pekela,1,2012,Harlingen,Friesland
Heerenveen,Pekela,0,2012,Heerenveen,Friesland
Hoogeveen,Pekela,4,2012,Hoogeveen,Drenthe
Hoogezand.Sappemeer,Pekela,11,2012,Hoogezand Sappemeer,Groningen
Kollumerland.en.Nieuwkruisland,Pekela,1,2012,Kollumerland en Nieuwkruisland,Friesland
Leek,Pekela,2,2012,Leek,Groningen
Leeuwarden,Pekela,3,2012,Leeuwarden,Friesland
Leeuwarderadeel,Pekela,0,2012,Leeuwarderadeel,Friesland
Lemsterland,Pekela,0,2012,Lemsterland,Friesland
Littenseradiel,Pekela,0,2012,Littenseradiel,Friesland
Loppersum,Pekela,0,2012,Loppersum,Groningen
De.Marne,Pekela,4,2012,De Marne,Groningen
Marum,Pekela,7,2012,Marum,Groningen
Menameradiel,Pekela,0,2012,Menameradiel,Friesland
Menterwolde,Pekela,13,2012,Menterwolde,Groningen
Meppel,Pekela,2,2012,Meppel,Drenthe
Midden.Drenthe,Pekela,2,2012,Midden Drenthe,Drenthe
Midden.Groningen,Pekela,NA,2012,Midden Groningen,Groningen
Noordenveld,Pekela,2,2012,Noordenveld,Drenthe
Oldambt,Pekela,131,2012,Oldambt,Groningen
Ooststellingwerf,Pekela,2,2012,Ooststellingwerf,Friesland
Opsterland,Pekela,0,2012,Opsterland,Friesland
Pekela,Pekela,NA,2012,Pekela,Groningen
Schiermonnikoog,Pekela,0,2012,Schiermonnikoog,Friesland
Skarsterlân,Pekela,0,2012,Skarsterlân,Friesland
Slochteren,Pekela,1,2012,Slochteren,Groningen
Smallingerland,Pekela,2,2012,Smallingerland,Friesland
Stadskanaal,Pekela,54,2012,Stadskanaal,Groningen
Súdwest.Fryslân,Pekela,1,2012,Súdwest Fryslân,Friesland
Terschelling,Pekela,0,2012,Terschelling,Friesland
Tynaarlo,Pekela,0,2012,Tynaarlo,Drenthe
Tytsjerksteradiel,Pekela,0,2012,Tytsjerksteradiel,Friesland
Veendam,Pekela,55,2012,Veendam,Groningen
Vlagtwedde,Pekela,15,2012,Vlagtwedde,Groningen
Vlieland,Pekela,0,2012,Vlieland,Friesland
Waadhoeke,Pekela,NA,2012,Waadhoeke,Friesland
Westerveld,Pekela,0,2012,Westerveld,Drenthe
Westerwolde,Pekela,NA,2012,Westerwolde,Groningen
Weststellingwerf,Pekela,0,2012,Weststellingwerf,Friesland
Winsum,Pekela,0,2012,Winsum,Groningen
De.Wolden,Pekela,1,2012,De Wolden,Drenthe
Zuidhorn,Pekela,2,2012,Zuidhorn,Groningen
Aa.en.Hunze,Schiermonnikoog,0,2012,Aa en Hunze,Drenthe
Achtkarspelen,Schiermonnikoog,4,2012,Achtkarspelen,Friesland
Ameland,Schiermonnikoog,0,2012,Ameland,Friesland
Appingedam,Schiermonnikoog,0,2012,Appingedam,Groningen
Assen,Schiermonnikoog,4,2012,Assen,Drenthe
Bedum,Schiermonnikoog,0,2012,Bedum,Groningen
Bellingwedde,Schiermonnikoog,0,2012,Bellingwedde,Groningen
het.Bildt,Schiermonnikoog,0,2012,het Bildt,Friesland
Boarnsterhim,Schiermonnikoog,0,2012,Boarnsterhim,Friesland
Ten.Boer,Schiermonnikoog,0,2012,Ten Boer,Groningen
Borger.Odoorn,Schiermonnikoog,0,2012,Borger Odoorn,Drenthe
Coevorden,Schiermonnikoog,0,2012,Coevorden,Drenthe
Dantumadiel,Schiermonnikoog,0,2012,Dantumadiel,Friesland
Delfzijl,Schiermonnikoog,1,2012,Delfzijl,Groningen
Dongeradeel,Schiermonnikoog,4,2012,Dongeradeel,Friesland
Eemsmond,Schiermonnikoog,0,2012,Eemsmond,Groningen
Emmen,Schiermonnikoog,0,2012,Emmen,Drenthe
Ferwerderadiel,Schiermonnikoog,0,2012,Ferwerderadiel,Friesland
Franekeradeel,Schiermonnikoog,2,2012,Franekeradeel,Friesland
De.Friese.Meren,Schiermonnikoog,NA,2012,De Friese Meren,Friesland
De.Fryske.Marren,Schiermonnikoog,NA,2012,De Fryske Marren,Friesland
Gaasterlân.Sleat,Schiermonnikoog,0,2012,Gaasterlân Sleat,Friesland
Groningen,Schiermonnikoog,9,2012,Groningen,Groningen
Grootegast,Schiermonnikoog,1,2012,Grootegast,Groningen
Haren,Schiermonnikoog,0,2012,Haren,Groningen
Harlingen,Schiermonnikoog,0,2012,Harlingen,Friesland
Heerenveen,Schiermonnikoog,1,2012,Heerenveen,Friesland
Hoogeveen,Schiermonnikoog,0,2012,Hoogeveen,Drenthe
Hoogezand.Sappemeer,Schiermonnikoog,0,2012,Hoogezand Sappemeer,Groningen
Kollumerland.en.Nieuwkruisland,Schiermonnikoog,1,2012,Kollumerland en Nieuwkruisland,Friesland
Leek,Schiermonnikoog,0,2012,Leek,Groningen
Leeuwarden,Schiermonnikoog,9,2012,Leeuwarden,Friesland
Leeuwarderadeel,Schiermonnikoog,0,2012,Leeuwarderadeel,Friesland
Lemsterland,Schiermonnikoog,0,2012,Lemsterland,Friesland
Littenseradiel,Schiermonnikoog,0,2012,Littenseradiel,Friesland
Loppersum,Schiermonnikoog,0,2012,Loppersum,Groningen
De.Marne,Schiermonnikoog,3,2012,De Marne,Groningen
Marum,Schiermonnikoog,0,2012,Marum,Groningen
Menameradiel,Schiermonnikoog,0,2012,Menameradiel,Friesland
Menterwolde,Schiermonnikoog,0,2012,Menterwolde,Groningen
Meppel,Schiermonnikoog,0,2012,Meppel,Drenthe
Midden.Drenthe,Schiermonnikoog,0,2012,Midden Drenthe,Drenthe
Midden.Groningen,Schiermonnikoog,NA,2012,Midden Groningen,Groningen
Noordenveld,Schiermonnikoog,0,2012,Noordenveld,Drenthe
Oldambt,Schiermonnikoog,0,2012,Oldambt,Groningen
Ooststellingwerf,Schiermonnikoog,0,2012,Ooststellingwerf,Friesland
Opsterland,Schiermonnikoog,1,2012,Opsterland,Friesland
Pekela,Schiermonnikoog,0,2012,Pekela,Groningen
Schiermonnikoog,Schiermonnikoog,NA,2012,Schiermonnikoog,Friesland
Skarsterlân,Schiermonnikoog,6,2012,Skarsterlân,Friesland
Slochteren,Schiermonnikoog,1,2012,Slochteren,Groningen
Smallingerland,Schiermonnikoog,1,2012,Smallingerland,Friesland
Stadskanaal,Schiermonnikoog,0,2012,Stadskanaal,Groningen
Súdwest.Fryslân,Schiermonnikoog,1,2012,Súdwest Fryslân,Friesland
Terschelling,Schiermonnikoog,0,2012,Terschelling,Friesland
Tynaarlo,Schiermonnikoog,0,2012,Tynaarlo,Drenthe
Tytsjerksteradiel,Schiermonnikoog,0,2012,Tytsjerksteradiel,Friesland
Veendam,Schiermonnikoog,0,2012,Veendam,Groningen
Vlagtwedde,Schiermonnikoog,0,2012,Vlagtwedde,Groningen
Vlieland,Schiermonnikoog,0,2012,Vlieland,Friesland
Waadhoeke,Schiermonnikoog,NA,2012,Waadhoeke,Friesland
Westerveld,Schiermonnikoog,0,2012,Westerveld,Drenthe
Westerwolde,Schiermonnikoog,NA,2012,Westerwolde,Groningen
Weststellingwerf,Schiermonnikoog,0,2012,Weststellingwerf,Friesland
Winsum,Schiermonnikoog,2,2012,Winsum,Groningen
De.Wolden,Schiermonnikoog,0,2012,De Wolden,Drenthe
Zuidhorn,Schiermonnikoog,0,2012,Zuidhorn,Groningen
Aa.en.Hunze,Skarsterlân,0,2012,Aa en Hunze,Drenthe
Achtkarspelen,Skarsterlân,0,2012,Achtkarspelen,Friesland
Ameland,Skarsterlân,0,2012,Ameland,Friesland
Appingedam,Skarsterlân,3,2012,Appingedam,Groningen
Assen,Skarsterlân,1,2012,Assen,Drenthe
Bedum,Skarsterlân,0,2012,Bedum,Groningen
Bellingwedde,Skarsterlân,0,2012,Bellingwedde,Groningen
het.Bildt,Skarsterlân,8,2012,het Bildt,Friesland
Boarnsterhim,Skarsterlân,38,2012,Boarnsterhim,Friesland
Ten.Boer,Skarsterlân,0,2012,Ten Boer,Groningen
Borger.Odoorn,Skarsterlân,0,2012,Borger Odoorn,Drenthe
Coevorden,Skarsterlân,4,2012,Coevorden,Drenthe
Dantumadiel,Skarsterlân,6,2012,Dantumadiel,Friesland
Delfzijl,Skarsterlân,4,2012,Delfzijl,Groningen
Dongeradeel,Skarsterlân,2,2012,Dongeradeel,Friesland
Eemsmond,Skarsterlân,0,2012,Eemsmond,Groningen
Emmen,Skarsterlân,4,2012,Emmen,Drenthe
Ferwerderadiel,Skarsterlân,0,2012,Ferwerderadiel,Friesland
Franekeradeel,Skarsterlân,4,2012,Franekeradeel,Friesland
De.Friese.Meren,Skarsterlân,NA,2012,De Friese Meren,Friesland
De.Fryske.Marren,Skarsterlân,NA,2012,De Fryske Marren,Friesland
Gaasterlân.Sleat,Skarsterlân,17,2012,Gaasterlân Sleat,Friesland
Groningen,Skarsterlân,71,2012,Groningen,Groningen
Grootegast,Skarsterlân,2,2012,Grootegast,Groningen
Haren,Skarsterlân,1,2012,Haren,Groningen
Harlingen,Skarsterlân,0,2012,Harlingen,Friesland
Heerenveen,Skarsterlân,154,2012,Heerenveen,Friesland
Hoogeveen,Skarsterlân,4,2012,Hoogeveen,Drenthe
Hoogezand.Sappemeer,Skarsterlân,1,2012,Hoogezand Sappemeer,Groningen
Kollumerland.en.Nieuwkruisland,Skarsterlân,2,2012,Kollumerland en Nieuwkruisland,Friesland
Leek,Skarsterlân,0,2012,Leek,Groningen
Leeuwarden,Skarsterlân,39,2012,Leeuwarden,Friesland
Leeuwarderadeel,Skarsterlân,3,2012,Leeuwarderadeel,Friesland
Lemsterland,Skarsterlân,39,2012,Lemsterland,Friesland
Littenseradiel,Skarsterlân,13,2012,Littenseradiel,Friesland
Loppersum,Skarsterlân,0,2012,Loppersum,Groningen
De.Marne,Skarsterlân,0,2012,De Marne,Groningen
Marum,Skarsterlân,1,2012,Marum,Groningen
Menameradiel,Skarsterlân,5,2012,Menameradiel,Friesland
Menterwolde,Skarsterlân,0,2012,Menterwolde,Groningen
Meppel,Skarsterlân,1,2012,Meppel,Drenthe
Midden.Drenthe,Skarsterlân,1,2012,Midden Drenthe,Drenthe
Midden.Groningen,Skarsterlân,NA,2012,Midden Groningen,Groningen
Noordenveld,Skarsterlân,2,2012,Noordenveld,Drenthe
Oldambt,Skarsterlân,0,2012,Oldambt,Groningen
Ooststellingwerf,Skarsterlân,7,2012,Ooststellingwerf,Friesland
Opsterland,Skarsterlân,11,2012,Opsterland,Friesland
Pekela,Skarsterlân,1,2012,Pekela,Groningen
Schiermonnikoog,Skarsterlân,0,2012,Schiermonnikoog,Friesland
Skarsterlân,Skarsterlân,NA,2012,Skarsterlân,Friesland
Slochteren,Skarsterlân,0,2012,Slochteren,Groningen
Smallingerland,Skarsterlân,18,2012,Smallingerland,Friesland
Stadskanaal,Skarsterlân,1,2012,Stadskanaal,Groningen
Súdwest.Fryslân,Skarsterlân,73,2012,Súdwest Fryslân,Friesland
Terschelling,Skarsterlân,1,2012,Terschelling,Friesland
Tynaarlo,Skarsterlân,0,2012,Tynaarlo,Drenthe
Tytsjerksteradiel,Skarsterlân,5,2012,Tytsjerksteradiel,Friesland
Veendam,Skarsterlân,1,2012,Veendam,Groningen
Vlagtwedde,Skarsterlân,0,2012,Vlagtwedde,Groningen
Vlieland,Skarsterlân,0,2012,Vlieland,Friesland
Waadhoeke,Skarsterlân,NA,2012,Waadhoeke,Friesland
Westerveld,Skarsterlân,2,2012,Westerveld,Drenthe
Westerwolde,Skarsterlân,NA,2012,Westerwolde,Groningen
Weststellingwerf,Skarsterlân,24,2012,Weststellingwerf,Friesland
Winsum,Skarsterlân,1,2012,Winsum,Groningen
De.Wolden,Skarsterlân,0,2012,De Wolden,Drenthe
Zuidhorn,Skarsterlân,0,2012,Zuidhorn,Groningen
Aa.en.Hunze,Slochteren,3,2012,Aa en Hunze,Drenthe
Achtkarspelen,Slochteren,2,2012,Achtkarspelen,Friesland
Ameland,Slochteren,0,2012,Ameland,Friesland
Appingedam,Slochteren,15,2012,Appingedam,Groningen
Assen,Slochteren,4,2012,Assen,Drenthe
Bedum,Slochteren,1,2012,Bedum,Groningen
Bellingwedde,Slochteren,3,2012,Bellingwedde,Groningen
het.Bildt,Slochteren,2,2012,het Bildt,Friesland
Boarnsterhim,Slochteren,0,2012,Boarnsterhim,Friesland
Ten.Boer,Slochteren,9,2012,Ten Boer,Groningen
Borger.Odoorn,Slochteren,9,2012,Borger Odoorn,Drenthe
Coevorden,Slochteren,0,2012,Coevorden,Drenthe
Dantumadiel,Slochteren,0,2012,Dantumadiel,Friesland
Delfzijl,Slochteren,27,2012,Delfzijl,Groningen
Dongeradeel,Slochteren,0,2012,Dongeradeel,Friesland
Eemsmond,Slochteren,5,2012,Eemsmond,Groningen
Emmen,Slochteren,1,2012,Emmen,Drenthe
Ferwerderadiel,Slochteren,0,2012,Ferwerderadiel,Friesland
Franekeradeel,Slochteren,0,2012,Franekeradeel,Friesland
De.Friese.Meren,Slochteren,NA,2012,De Friese Meren,Friesland
De.Fryske.Marren,Slochteren,NA,2012,De Fryske Marren,Friesland
Gaasterlân.Sleat,Slochteren,0,2012,Gaasterlân Sleat,Friesland
Groningen,Slochteren,268,2012,Groningen,Groningen
Grootegast,Slochteren,2,2012,Grootegast,Groningen
Haren,Slochteren,11,2012,Haren,Groningen
Harlingen,Slochteren,0,2012,Harlingen,Friesland
Heerenveen,Slochteren,4,2012,Heerenveen,Friesland
Hoogeveen,Slochteren,2,2012,Hoogeveen,Drenthe
Hoogezand.Sappemeer,Slochteren,74,2012,Hoogezand Sappemeer,Groningen
Kollumerland.en.Nieuwkruisland,Slochteren,2,2012,Kollumerland en Nieuwkruisland,Friesland
Leek,Slochteren,6,2012,Leek,Groningen
Leeuwarden,Slochteren,4,2012,Leeuwarden,Friesland
Leeuwarderadeel,Slochteren,0,2012,Leeuwarderadeel,Friesland
Lemsterland,Slochteren,0,2012,Lemsterland,Friesland
Littenseradiel,Slochteren,1,2012,Littenseradiel,Friesland
Loppersum,Slochteren,12,2012,Loppersum,Groningen
De.Marne,Slochteren,1,2012,De Marne,Groningen
Marum,Slochteren,0,2012,Marum,Groningen
Menameradiel,Slochteren,0,2012,Menameradiel,Friesland
Menterwolde,Slochteren,21,2012,Menterwolde,Groningen
Meppel,Slochteren,3,2012,Meppel,Drenthe
Midden.Drenthe,Slochteren,0,2012,Midden Drenthe,Drenthe
Midden.Groningen,Slochteren,NA,2012,Midden Groningen,Groningen
Noordenveld,Slochteren,1,2012,Noordenveld,Drenthe
Oldambt,Slochteren,18,2012,Oldambt,Groningen
Ooststellingwerf,Slochteren,0,2012,Ooststellingwerf,Friesland
Opsterland,Slochteren,3,2012,Opsterland,Friesland
Pekela,Slochteren,1,2012,Pekela,Groningen
Schiermonnikoog,Slochteren,1,2012,Schiermonnikoog,Friesland
Skarsterlân,Slochteren,2,2012,Skarsterlân,Friesland
Slochteren,Slochteren,NA,2012,Slochteren,Groningen
Smallingerland,Slochteren,2,2012,Smallingerland,Friesland
Stadskanaal,Slochteren,4,2012,Stadskanaal,Groningen
Súdwest.Fryslân,Slochteren,1,2012,Súdwest Fryslân,Friesland
Terschelling,Slochteren,1,2012,Terschelling,Friesland
Tynaarlo,Slochteren,9,2012,Tynaarlo,Drenthe
Tytsjerksteradiel,Slochteren,0,2012,Tytsjerksteradiel,Friesland
Veendam,Slochteren,11,2012,Veendam,Groningen
Vlagtwedde,Slochteren,5,2012,Vlagtwedde,Groningen
Vlieland,Slochteren,0,2012,Vlieland,Friesland
Waadhoeke,Slochteren,NA,2012,Waadhoeke,Friesland
Westerveld,Slochteren,0,2012,Westerveld,Drenthe
Westerwolde,Slochteren,NA,2012,Westerwolde,Groningen
Weststellingwerf,Slochteren,0,2012,Weststellingwerf,Friesland
Winsum,Slochteren,3,2012,Winsum,Groningen
De.Wolden,Slochteren,0,2012,De Wolden,Drenthe
Zuidhorn,Slochteren,2,2012,Zuidhorn,Groningen
Aa.en.Hunze,Smallingerland,1,2012,Aa en Hunze,Drenthe
Achtkarspelen,Smallingerland,135,2012,Achtkarspelen,Friesland
Ameland,Smallingerland,0,2012,Ameland,Friesland
Appingedam,Smallingerland,0,2012,Appingedam,Groningen
Assen,Smallingerland,9,2012,Assen,Drenthe
Bedum,Smallingerland,1,2012,Bedum,Groningen
Bellingwedde,Smallingerland,1,2012,Bellingwedde,Groningen
het.Bildt,Smallingerland,7,2012,het Bildt,Friesland
Boarnsterhim,Smallingerland,12,2012,Boarnsterhim,Friesland
Ten.Boer,Smallingerland,0,2012,Ten Boer,Groningen
Borger.Odoorn,Smallingerland,6,2012,Borger Odoorn,Drenthe
Coevorden,Smallingerland,2,2012,Coevorden,Drenthe
Dantumadiel,Smallingerland,33,2012,Dantumadiel,Friesland
Delfzijl,Smallingerland,1,2012,Delfzijl,Groningen
Dongeradeel,Smallingerland,19,2012,Dongeradeel,Friesland
Eemsmond,Smallingerland,3,2012,Eemsmond,Groningen
Emmen,Smallingerland,19,2012,Emmen,Drenthe
Ferwerderadiel,Smallingerland,15,2012,Ferwerderadiel,Friesland
Franekeradeel,Smallingerland,11,2012,Franekeradeel,Friesland
De.Friese.Meren,Smallingerland,NA,2012,De Friese Meren,Friesland
De.Fryske.Marren,Smallingerland,NA,2012,De Fryske Marren,Friesland
Gaasterlân.Sleat,Smallingerland,2,2012,Gaasterlân Sleat,Friesland
Groningen,Smallingerland,167,2012,Groningen,Groningen
Grootegast,Smallingerland,31,2012,Grootegast,Groningen
Haren,Smallingerland,4,2012,Haren,Groningen
Harlingen,Smallingerland,10,2012,Harlingen,Friesland
Heerenveen,Smallingerland,97,2012,Heerenveen,Friesland
Hoogeveen,Smallingerland,7,2012,Hoogeveen,Drenthe
Hoogezand.Sappemeer,Smallingerland,10,2012,Hoogezand Sappemeer,Groningen
Kollumerland.en.Nieuwkruisland,Smallingerland,25,2012,Kollumerland en Nieuwkruisland,Friesland
Leek,Smallingerland,19,2012,Leek,Groningen
Leeuwarden,Smallingerland,157,2012,Leeuwarden,Friesland
Leeuwarderadeel,Smallingerland,8,2012,Leeuwarderadeel,Friesland
Lemsterland,Smallingerland,4,2012,Lemsterland,Friesland
Littenseradiel,Smallingerland,7,2012,Littenseradiel,Friesland
Loppersum,Smallingerland,2,2012,Loppersum,Groningen
De.Marne,Smallingerland,4,2012,De Marne,Groningen
Marum,Smallingerland,18,2012,Marum,Groningen
Menameradiel,Smallingerland,6,2012,Menameradiel,Friesland
Menterwolde,Smallingerland,1,2012,Menterwolde,Groningen
Meppel,Smallingerland,8,2012,Meppel,Drenthe
Midden.Drenthe,Smallingerland,2,2012,Midden Drenthe,Drenthe
Midden.Groningen,Smallingerland,NA,2012,Midden Groningen,Groningen
Noordenveld,Smallingerland,8,2012,Noordenveld,Drenthe
Oldambt,Smallingerland,7,2012,Oldambt,Groningen
Ooststellingwerf,Smallingerland,63,2012,Ooststellingwerf,Friesland
Opsterland,Smallingerland,262,2012,Opsterland,Friesland
Pekela,Smallingerland,1,2012,Pekela,Groningen
Schiermonnikoog,Smallingerland,0,2012,Schiermonnikoog,Friesland
Skarsterlân,Smallingerland,18,2012,Skarsterlân,Friesland
Slochteren,Smallingerland,2,2012,Slochteren,Groningen
Smallingerland,Smallingerland,NA,2012,Smallingerland,Friesland
Stadskanaal,Smallingerland,0,2012,Stadskanaal,Groningen
Súdwest.Fryslân,Smallingerland,47,2012,Súdwest Fryslân,Friesland
Terschelling,Smallingerland,0,2012,Terschelling,Friesland
Tynaarlo,Smallingerland,5,2012,Tynaarlo,Drenthe
Tytsjerksteradiel,Smallingerland,110,2012,Tytsjerksteradiel,Friesland
Veendam,Smallingerland,11,2012,Veendam,Groningen
Vlagtwedde,Smallingerland,1,2012,Vlagtwedde,Groningen
Vlieland,Smallingerland,1,2012,Vlieland,Friesland
Waadhoeke,Smallingerland,NA,2012,Waadhoeke,Friesland
Westerveld,Smallingerland,7,2012,Westerveld,Drenthe
Westerwolde,Smallingerland,NA,2012,Westerwolde,Groningen
Weststellingwerf,Smallingerland,28,2012,Weststellingwerf,Friesland
Winsum,Smallingerland,0,2012,Winsum,Groningen
De.Wolden,Smallingerland,0,2012,De Wolden,Drenthe
Zuidhorn,Smallingerland,4,2012,Zuidhorn,Groningen
Aa.en.Hunze,Stadskanaal,68,2012,Aa en Hunze,Drenthe
Achtkarspelen,Stadskanaal,0,2012,Achtkarspelen,Friesland
Ameland,Stadskanaal,1,2012,Ameland,Friesland
Appingedam,Stadskanaal,5,2012,Appingedam,Groningen
Assen,Stadskanaal,12,2012,Assen,Drenthe
Bedum,Stadskanaal,1,2012,Bedum,Groningen
Bellingwedde,Stadskanaal,44,2012,Bellingwedde,Groningen
het.Bildt,Stadskanaal,0,2012,het Bildt,Friesland
Boarnsterhim,Stadskanaal,1,2012,Boarnsterhim,Friesland
Ten.Boer,Stadskanaal,1,2012,Ten Boer,Groningen
Borger.Odoorn,Stadskanaal,217,2012,Borger Odoorn,Drenthe
Coevorden,Stadskanaal,8,2012,Coevorden,Drenthe
Dantumadiel,Stadskanaal,0,2012,Dantumadiel,Friesland
Delfzijl,Stadskanaal,10,2012,Delfzijl,Groningen
Dongeradeel,Stadskanaal,3,2012,Dongeradeel,Friesland
Eemsmond,Stadskanaal,3,2012,Eemsmond,Groningen
Emmen,Stadskanaal,95,2012,Emmen,Drenthe
Ferwerderadiel,Stadskanaal,2,2012,Ferwerderadiel,Friesland
Franekeradeel,Stadskanaal,2,2012,Franekeradeel,Friesland
De.Friese.Meren,Stadskanaal,NA,2012,De Friese Meren,Friesland
De.Fryske.Marren,Stadskanaal,NA,2012,De Fryske Marren,Friesland
Gaasterlân.Sleat,Stadskanaal,0,2012,Gaasterlân Sleat,Friesland
Groningen,Stadskanaal,121,2012,Groningen,Groningen
Grootegast,Stadskanaal,0,2012,Grootegast,Groningen
Haren,Stadskanaal,5,2012,Haren,Groningen
Harlingen,Stadskanaal,1,2012,Harlingen,Friesland
Heerenveen,Stadskanaal,4,2012,Heerenveen,Friesland
Hoogeveen,Stadskanaal,5,2012,Hoogeveen,Drenthe
Hoogezand.Sappemeer,Stadskanaal,27,2012,Hoogezand Sappemeer,Groningen
Kollumerland.en.Nieuwkruisland,Stadskanaal,0,2012,Kollumerland en Nieuwkruisland,Friesland
Leek,Stadskanaal,2,2012,Leek,Groningen
Leeuwarden,Stadskanaal,10,2012,Leeuwarden,Friesland
Leeuwarderadeel,Stadskanaal,0,2012,Leeuwarderadeel,Friesland
Lemsterland,Stadskanaal,0,2012,Lemsterland,Friesland
Littenseradiel,Stadskanaal,0,2012,Littenseradiel,Friesland
Loppersum,Stadskanaal,1,2012,Loppersum,Groningen
De.Marne,Stadskanaal,1,2012,De Marne,Groningen
Marum,Stadskanaal,3,2012,Marum,Groningen
Menameradiel,Stadskanaal,0,2012,Menameradiel,Friesland
Menterwolde,Stadskanaal,13,2012,Menterwolde,Groningen
Meppel,Stadskanaal,2,2012,Meppel,Drenthe
Midden.Drenthe,Stadskanaal,12,2012,Midden Drenthe,Drenthe
Midden.Groningen,Stadskanaal,NA,2012,Midden Groningen,Groningen
Noordenveld,Stadskanaal,9,2012,Noordenveld,Drenthe
Oldambt,Stadskanaal,53,2012,Oldambt,Groningen
Ooststellingwerf,Stadskanaal,4,2012,Ooststellingwerf,Friesland
Opsterland,Stadskanaal,4,2012,Opsterland,Friesland
Pekela,Stadskanaal,37,2012,Pekela,Groningen
Schiermonnikoog,Stadskanaal,0,2012,Schiermonnikoog,Friesland
Skarsterlân,Stadskanaal,2,2012,Skarsterlân,Friesland
Slochteren,Stadskanaal,3,2012,Slochteren,Groningen
Smallingerland,Stadskanaal,4,2012,Smallingerland,Friesland
Stadskanaal,Stadskanaal,NA,2012,Stadskanaal,Groningen
Súdwest.Fryslân,Stadskanaal,3,2012,Súdwest Fryslân,Friesland
Terschelling,Stadskanaal,1,2012,Terschelling,Friesland
Tynaarlo,Stadskanaal,17,2012,Tynaarlo,Drenthe
Tytsjerksteradiel,Stadskanaal,1,2012,Tytsjerksteradiel,Friesland
Veendam,Stadskanaal,49,2012,Veendam,Groningen
Vlagtwedde,Stadskanaal,128,2012,Vlagtwedde,Groningen
Vlieland,Stadskanaal,0,2012,Vlieland,Friesland
Waadhoeke,Stadskanaal,NA,2012,Waadhoeke,Friesland
Westerveld,Stadskanaal,1,2012,Westerveld,Drenthe
Westerwolde,Stadskanaal,NA,2012,Westerwolde,Groningen
Weststellingwerf,Stadskanaal,4,2012,Weststellingwerf,Friesland
Winsum,Stadskanaal,1,2012,Winsum,Groningen
De.Wolden,Stadskanaal,1,2012,De Wolden,Drenthe
Zuidhorn,Stadskanaal,4,2012,Zuidhorn,Groningen
Aa.en.Hunze,Súdwest.Fryslân,3,2012,Aa en Hunze,Drenthe
Achtkarspelen,Súdwest.Fryslân,16,2012,Achtkarspelen,Friesland
Ameland,Súdwest.Fryslân,0,2012,Ameland,Friesland
Appingedam,Súdwest.Fryslân,3,2012,Appingedam,Groningen
Assen,Súdwest.Fryslân,11,2012,Assen,Drenthe
Bedum,Súdwest.Fryslân,0,2012,Bedum,Groningen
Bellingwedde,Súdwest.Fryslân,0,2012,Bellingwedde,Groningen
het.Bildt,Súdwest.Fryslân,18,2012,het Bildt,Friesland
Boarnsterhim,Súdwest.Fryslân,60,2012,Boarnsterhim,Friesland
Ten.Boer,Súdwest.Fryslân,0,2012,Ten Boer,Groningen
Borger.Odoorn,Súdwest.Fryslân,7,2012,Borger Odoorn,Drenthe
Coevorden,Súdwest.Fryslân,2,2012,Coevorden,Drenthe
Dantumadiel,Súdwest.Fryslân,18,2012,Dantumadiel,Friesland
Delfzijl,Súdwest.Fryslân,1,2012,Delfzijl,Groningen
Dongeradeel,Súdwest.Fryslân,12,2012,Dongeradeel,Friesland
Eemsmond,Súdwest.Fryslân,2,2012,Eemsmond,Groningen
Emmen,Súdwest.Fryslân,7,2012,Emmen,Drenthe
Ferwerderadiel,Súdwest.Fryslân,3,2012,Ferwerderadiel,Friesland
Franekeradeel,Súdwest.Fryslân,63,2012,Franekeradeel,Friesland
De.Friese.Meren,Súdwest.Fryslân,NA,2012,De Friese Meren,Friesland
De.Fryske.Marren,Súdwest.Fryslân,NA,2012,De Fryske Marren,Friesland
Gaasterlân.Sleat,Súdwest.Fryslân,71,2012,Gaasterlân Sleat,Friesland
Groningen,Súdwest.Fryslân,184,2012,Groningen,Groningen
Grootegast,Súdwest.Fryslân,4,2012,Grootegast,Groningen
Haren,Súdwest.Fryslân,1,2012,Haren,Groningen
Harlingen,Súdwest.Fryslân,62,2012,Harlingen,Friesland
Heerenveen,Súdwest.Fryslân,79,2012,Heerenveen,Friesland
