from,to,Migration,year,gemeente fromnaamvolledig,provincie from
Gaasterlân.Sleat,Achtkarspelen,1,2011,Gaasterlân Sleat,Friesland
Groningen,Achtkarspelen,52,2011,Groningen,Groningen
Grootegast,Achtkarspelen,33,2011,Grootegast,Groningen
Haren,Achtkarspelen,1,2011,Haren,Groningen
Harlingen,Achtkarspelen,3,2011,Harlingen,Friesland
Heerenveen,Achtkarspelen,7,2011,Heerenveen,Friesland
Hoogeveen,Achtkarspelen,2,2011,Hoogeveen,Drenthe
Hoogezand.Sappemeer,Achtkarspelen,2,2011,Hoogezand Sappemeer,Groningen
Kollumerland.en.Nieuwkruisland,Achtkarspelen,52,2011,Kollumerland en Nieuwkruisland,Friesland
Leek,Achtkarspelen,9,2011,Leek,Groningen
Leeuwarden,Achtkarspelen,69,2011,Leeuwarden,Friesland
Leeuwarderadeel,Achtkarspelen,0,2011,Leeuwarderadeel,Friesland
Lemsterland,Achtkarspelen,1,2011,Lemsterland,Friesland
Littenseradiel,Achtkarspelen,1,2011,Littenseradiel,Friesland
Loppersum,Achtkarspelen,0,2011,Loppersum,Groningen
De.Marne,Achtkarspelen,4,2011,De Marne,Groningen
Marum,Achtkarspelen,19,2011,Marum,Groningen
Menameradiel,Achtkarspelen,10,2011,Menameradiel,Friesland
Menterwolde,Achtkarspelen,0,2011,Menterwolde,Groningen
Meppel,Achtkarspelen,1,2011,Meppel,Drenthe
Midden.Drenthe,Achtkarspelen,0,2011,Midden Drenthe,Drenthe
Midden.Groningen,Achtkarspelen,NA,2011,Midden Groningen,Groningen
Noordenveld,Achtkarspelen,3,2011,Noordenveld,Drenthe
Oldambt,Achtkarspelen,3,2011,Oldambt,Groningen
Ooststellingwerf,Achtkarspelen,14,2011,Ooststellingwerf,Friesland
Opsterland,Achtkarspelen,25,2011,Opsterland,Friesland
Pekela,Achtkarspelen,0,2011,Pekela,Groningen
Schiermonnikoog,Achtkarspelen,1,2011,Schiermonnikoog,Friesland
Skarsterlân,Achtkarspelen,0,2011,Skarsterlân,Friesland
Slochteren,Achtkarspelen,1,2011,Slochteren,Groningen
Smallingerland,Achtkarspelen,84,2011,Smallingerland,Friesland
Stadskanaal,Achtkarspelen,1,2011,Stadskanaal,Groningen
Súdwest.Fryslân,Achtkarspelen,13,2011,Súdwest Fryslân,Friesland
Terschelling,Achtkarspelen,4,2011,Terschelling,Friesland
Tynaarlo,Achtkarspelen,7,2011,Tynaarlo,Drenthe
