Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
1,1,0,1,191,3,,,,0,100,15,0,3,2,1,33,0,,,0,,233,0,12,0,2,11,,0,1,22,,,,0,1,2,,,2,37,69,21,23,3,5,12,1,,,0,80,9,1,113,0,68,,0,0,14,10,0,3,5,7
1,1,5,0,12,0,,,,0,4,0,96,0,31,5,2,3,,,14,,63,88,1,4,29,1,,91,3,87,,,,4,2,20,,,3,10,7,10,2,14,19,0,0,,,140,0,17,3,3,131,0,,1,14,1,1,4,0,0,14
0,3,1,0,2,1,,,,0,0,1,1,0,6,1,3,0,,,0,,13,0,2,2,5,0,,1,6,48,,,,1,0,0,,,0,1,0,1,4,0,1,1,0,,,6,0,8,0,1,2,0,,0,6,2,1,5,1,2,1
4,2,1,1,3,0,,,,3,1,2,0,228,1,7,2,0,,,0,,95,0,4,0,2,2,,0,6,8,,,,23,0,2,,,0,5,51,13,25,6,2,5,0,,,3,2,3,1,12,0,4,,0,0,2,12,0,2,0,5
188,13,0,6,1,2,,,,11,72,29,4,11,11,6,81,1,,,7,,550,7,36,0,20,98,,0,20,50,,,,11,5,7,,,30,415,74,108,41,87,14,0,0,,,19,32,14,2,173,11,36,,1,1,46,13,3,6,35,14
6,0,0,4,12,1,,,,29,7,4,0,7,1,12,0,0,,,1,,154,0,11,1,0,0,,1,4,4,,,,21,7,2,,,1,3,10,6,7,0,1,0,1,,,3,0,0,1,6,0,1,,0,2,0,5,0,25,0,11
,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,1,8,13,11,,,,1,3,1,0,2,1,19,0,0,,,0,,112,7,7,0,1,0,,0,2,3,,,,48,8,0,,,1,3,34,3,5,2,2,1,1,,,0,0,0,0,6,0,5,,0,0,1,0,0,13,0,14
78,1,0,0,52,0,,,,0,1,59,0,1,0,4,288,0,,,0,,122,2,9,0,0,20,,1,6,9,,,,0,2,0,,,7,30,8,1,21,6,0,14,0,,,1,258,3,2,13,0,21,,1,1,7,50,3,3,1,0
11,1,1,0,22,1,,,,0,48,1,2,2,2,0,460,0,,,3,,90,2,3,0,12,119,,0,0,13,,,,0,1,0,,,19,53,5,2,3,1,7,3,0,,,11,8,8,1,7,4,2,,0,0,10,18,1,0,22,1
