Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
,0,1,4,144,3,1,0,1,0,56,19,0,6,1,3,18,0,0,,,2,203,0,14,0,3,14,11,0,10,11,0,0,0,0,4,0,0,12,2,21,,14,8,7,2,5,0,0,3,1,68,3,2,79,1,52,7,0,,7,,3,0,2,2
0,,0,3,3,0,1,0,4,0,0,0,35,0,21,1,5,7,7,,,1,84,33,3,2,16,2,2,60,10,55,1,0,0,1,1,8,3,0,5,3,,4,0,9,26,0,4,0,2,135,0,16,2,1,90,3,0,1,,0,,6,0,0,9
0,0,,2,0,1,0,0,1,0,2,0,3,1,2,0,1,0,4,,,0,8,1,0,3,2,0,2,1,1,51,3,0,0,0,0,0,3,0,0,0,,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,,0,,0,0,1,0
4,0,0,,0,5,1,0,0,5,1,1,0,156,0,8,2,0,0,,,0,92,1,6,1,3,1,12,1,6,10,0,0,0,28,3,4,0,0,0,8,,5,10,2,0,7,0,3,15,0,5,3,0,3,0,5,2,0,,1,,1,2,0,1
135,3,8,8,,1,5,0,1,3,37,23,1,8,1,1,67,2,6,,,0,524,2,20,0,8,55,29,1,23,31,1,1,0,7,4,2,1,5,33,209,,114,17,44,3,11,4,1,4,9,12,11,0,101,3,28,15,5,,38,,1,2,17,6
0,3,0,4,9,,1,0,0,12,1,0,0,2,1,15,0,0,0,,,0,147,0,7,0,1,0,4,0,7,2,0,0,0,17,7,5,1,2,1,4,,4,9,3,0,0,0,0,1,1,1,0,0,5,0,2,1,0,,0,,2,25,0,2
9,0,0,1,2,1,,2,0,0,5,3,0,36,0,2,9,2,0,,,0,50,0,3,0,0,1,7,0,3,0,0,0,1,0,0,1,0,2,0,1,,1,142,1,1,41,0,0,3,1,44,0,0,7,1,26,48,0,,1,,0,2,0,0
1,4,1,0,0,0,5,,10,6,1,1,6,0,3,5,1,18,61,,,2,21,0,1,18,5,0,1,1,1,112,26,2,4,0,1,0,58,0,0,0,,0,1,11,6,2,0,8,2,7,0,18,4,2,17,0,20,0,,0,,1,0,0,1
1,6,0,0,1,0,1,3,,0,1,0,5,0,6,0,1,4,15,,,1,69,0,1,10,77,2,1,2,1,177,3,6,17,0,0,2,8,0,0,0,,0,0,9,32,0,0,38,0,12,1,60,2,4,29,1,1,2,,2,,4,0,0,0
0,2,0,13,7,12,0,1,0,,0,0,1,2,0,5,2,0,0,,,2,112,3,2,0,1,0,7,0,5,2,0,0,0,16,1,5,0,0,0,0,,12,0,1,0,0,0,0,9,0,1,0,3,5,1,1,0,0,,0,,0,1,0,4
