Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
,0,0,1,153,0,3,0,,1,80,4,0,11,1,6,45,0,0,,1,,197,1,17,1,4,5,20,0,6,10,0,,0,2,1,4,1,9,3,46,,16,2,8,46,0,2,,0,151,0,15,4,7,80,4,0,1,,2,,9,0,2,12
0,,2,0,6,5,1,0,,0,3,7,67,1,39,0,3,4,4,,4,,83,68,6,3,22,0,0,90,3,76,0,,0,0,2,20,8,2,2,5,,3,2,0,0,1,1,,0,5,0,1,0,1,5,0,0,0,,0,,1,1,0,0
0,1,,0,2,0,0,1,,0,1,1,4,3,7,0,1,0,2,,3,,8,0,0,2,0,0,0,5,0,49,1,,0,0,0,0,2,0,0,0,,3,15,0,2,3,0,,27,0,8,0,2,5,1,13,3,0,,5,,2,4,0,1
4,1,0,,12,0,2,0,,12,8,0,1,227,1,13,1,0,0,,0,,120,1,8,1,0,0,12,2,5,8,0,,0,34,1,1,0,6,1,1,,7,22,90,6,1,0,,9,26,24,9,3,150,11,33,11,1,,37,,19,3,36,9
150,14,1,1,,1,2,0,,0,56,37,7,15,11,3,82,1,1,,2,,598,7,25,2,29,70,35,5,18,46,1,,0,5,3,2,1,10,40,348,,101,6,0,1,1,0,,10,2,0,2,0,20,1,3,0,1,,0,,3,30,4,3
1,2,1,10,8,,0,0,,21,2,0,0,6,0,7,2,0,0,,0,,196,4,8,3,0,0,14,0,4,6,0,,0,19,4,1,0,2,3,1,,12,171,4,0,36,0,,5,3,42,20,1,6,4,19,56,0,,2,,10,2,4,9
1,4,0,2,6,1,,3,,0,4,5,0,12,0,2,13,1,11,,9,,90,5,8,4,5,2,16,0,0,17,3,,1,0,6,3,6,9,2,5,,3,3,1,3,0,0,,0,8,0,13,0,0,10,0,2,1,,2,,3,0,0,1
0,2,3,0,2,0,0,,,0,2,0,3,1,8,0,5,15,53,,9,,20,1,0,21,2,2,6,3,0,176,54,,4,0,0,3,38,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,0,1,,18,1,0,0,1,16,0,2,2,0,,0,,1,1,0,3
5,0,0,8,9,21,1,0,,,0,0,0,9,0,10,1,0,0,,1,,129,3,3,0,2,0,15,0,2,4,0,,0,20,1,0,0,9,0,1,,9,14,3,0,7,0,,2,0,243,1,1,19,0,25,62,0,,3,,0,0,4,1
