Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
,0,1,6,199,3,9,0,,0,68,16,2,3,2,5,34,0,0,0,,,239,0,14,0,1,6,24,0,4,9,0,,0,1,0,0,0,9,6,38,,21,16,11,0,8,0,,8,2,68,1,2,89,0,55,6,0,,4,,0,2,8,4
0,,0,0,3,1,0,0,,0,0,1,81,0,22,1,3,2,5,7,,,80,71,1,4,25,0,1,88,4,78,2,,1,0,3,7,8,0,0,3,,5,1,8,21,0,5,,2,136,0,21,6,4,87,1,0,2,,2,,7,0,0,5
2,0,,0,1,0,0,0,,0,0,0,5,0,5,0,0,1,2,0,,,3,0,0,3,1,0,1,1,3,42,0,,0,0,1,0,1,1,0,1,,1,1,5,3,0,1,,0,5,1,1,0,0,1,0,0,0,,1,,1,0,0,0
4,0,0,,13,8,4,0,,9,0,0,0,198,0,9,1,0,0,0,,,114,0,2,0,0,0,18,1,0,8,0,,1,25,1,0,0,6,0,2,,0,12,0,0,5,0,,29,0,1,1,0,3,0,6,0,0,,0,,0,4,0,1
188,1,1,3,,4,4,0,,3,38,37,2,5,1,4,81,1,4,2,,,523,4,28,2,16,48,36,0,17,48,0,,0,3,6,3,1,9,21,269,,90,26,58,15,8,2,,9,27,25,14,2,128,5,31,10,0,,27,,3,4,22,5
2,0,0,2,4,,3,0,,11,4,0,0,3,0,21,0,0,0,1,,,201,0,15,0,3,0,10,0,5,7,0,,0,23,11,0,0,1,0,1,,9,4,4,0,0,0,,16,1,5,1,0,9,1,3,0,0,,0,,3,24,0,17
16,3,0,1,2,2,,2,,0,3,0,1,12,0,0,7,0,4,4,,,59,3,2,0,0,1,8,0,4,5,0,,0,0,0,0,0,10,1,3,,2,144,1,0,25,0,,9,3,26,1,0,2,0,18,34,0,,0,,0,1,0,0
0,0,0,1,0,0,0,,,0,0,0,4,2,7,0,2,8,30,3,,,19,0,0,2,14,1,2,1,3,95,30,,6,0,0,0,31,0,0,0,,0,0,2,0,0,0,,0,6,0,15,0,2,22,0,0,0,,4,,0,0,0,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,12,6,14,0,0,,,0,1,0,2,0,6,1,0,0,0,,,158,1,10,0,0,2,7,1,0,4,0,,0,22,5,2,0,5,0,1,,8,2,0,0,0,0,,15,2,2,0,4,11,0,0,0,0,,0,,0,1,0,15
64,0,2,1,36,0,2,0,,1,,49,0,0,0,4,246,0,1,2,,,170,1,6,0,0,14,7,1,2,8,0,,0,1,1,1,0,1,2,17,,6,15,3,1,11,0,,4,5,245,2,0,11,1,6,47,0,,3,,0,1,4,5
12,0,1,0,40,1,5,0,,1,49,,0,1,0,0,397,0,0,3,,,84,0,2,0,5,136,2,0,0,17,1,,0,1,0,1,0,1,6,49,,3,4,1,1,1,0,,0,3,9,3,0,17,13,2,9,0,,8,,1,1,8,0
1,45,5,2,7,0,0,3,,0,0,1,,1,140,1,2,19,6,4,,,45,0,0,7,8,0,1,60,6,52,4,,0,0,0,1,1,0,0,0,,2,0,3,8,1,1,,0,28,0,4,0,1,102,0,1,0,,2,,3,1,1,7
