https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
,Franekeradeel,1,7,1,0,5,0,0,51,18,1,6,1,1,0,13,0,6,12,,,,4,62,0,0,94,17,3,6,1,0,118,11,1,28,0,1,2,45,2,5,0,,0,3,5,9,0,0,4,1,18,1,81,6,7,28,0,2,3,,4,,6,0,4,0
,De Friese Meren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De Fryske Marren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gaasterlân-Sleat,0,1,0,0,1,0,0,2,3,0,0,0,0,0,0,0,2,0,1,,,,37,0,1,0,9,0,0,0,0,25,0,20,1,0,1,0,2,0,1,0,,0,0,0,3,0,0,38,0,5,0,87,2,0,4,0,0,1,,2,,4,0,0,0
,Groningen,167,52,11,58,366,145,18,14,36,217,58,63,22,116,49,89,235,10,22,,,10,,33,480,22,115,90,287,27,207,295,16,20,16,86,59,43,18,46,59,106,,348,146,55,86,25,4,66,205,162,89,156,11,572,51,149,57,2,,33,,37,145,40,295
,Grootegast,0,33,2,1,6,2,1,0,0,0,5,1,1,3,4,1,2,2,0,,,0,80,,3,0,0,0,2,1,36,6,1,1,0,0,0,34,0,3,0,0,,28,1,4,6,3,2,0,0,12,1,0,0,4,0,1,0,0,,1,,0,1,0,39
,Haren,19,1,0,2,28,7,0,0,2,4,2,1,0,4,0,2,8,0,0,,,0,397,4,,0,1,0,23,1,7,7,0,3,0,2,2,3,0,9,0,3,,23,2,1,6,0,0,1,11,3,3,2,2,78,1,3,0,0,,0,,0,6,4,0
,Harlingen,0,3,2,1,0,3,0,10,8,0,0,0,1,0,7,0,4,0,61,,,0,39,0,2,,5,0,2,0,0,95,8,2,5,1,1,0,13,1,0,0,,3,0,3,2,0,0,5,0,7,0,55,11,0,4,1,1,9,,2,,4,0,1,0
,Heerenveen,1,7,2,0,13,0,2,0,51,0,0,0,8,1,1,0,11,4,6,,,11,188,0,0,13,,6,2,1,11,130,2,26,7,1,2,2,3,0,3,4,,3,2,34,142,0,0,152,1,87,2,48,2,7,25,4,2,1,,13,,112,0,0,0
,Hoogeveen,16,2,0,1,65,1,2,0,0,0,6,69,1,7,2,2,66,2,1,,,0,139,1,0,0,2,,11,0,3,24,1,0,0,0,0,2,0,0,43,88,,19,10,4,0,1,0,0,1,8,11,6,3,7,2,9,7,0,,18,,1,0,182,1
,Hoogezand-Sappemeer,15,2,2,5,35,10,4,0,1,2,5,0,0,49,3,3,22,0,3,,,0,307,2,11,2,2,17,,3,40,12,1,0,0,10,3,3,0,59,3,10,,9,53,3,1,12,0,4,84,1,20,7,3,43,1,71,15,0,,0,,2,2,3,6
,Kollumerland en Nieuwkruisland,1,52,0,0,2,1,0,2,0,0,1,2,68,2,36,1,4,6,0,,,0,64,9,0,0,5,0,1,,3,53,6,0,3,0,3,4,3,0,0,0,,2,3,0,2,1,0,1,1,18,2,6,1,1,21,4,1,1,,1,,3,3,4,11
,Leek,4,9,1,3,19,4,2,0,0,1,4,2,0,10,0,7,3,0,0,,,0,267,35,5,1,2,2,15,0,,14,1,0,0,3,1,67,1,2,1,1,,117,17,21,14,7,0,0,2,29,1,7,1,13,2,10,3,0,,0,,3,3,0,34
