https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
,Bedum,0,3,0,4,9,,1,0,0,12,1,0,0,2,1,15,0,0,0,,,0,147,0,7,0,1,0,4,0,7,2,0,0,0,17,7,5,1,2,1,4,,4,9,3,0,0,0,0,1,1,1,0,0,5,0,2,1,0,,0,,2,25,0,2
,Bellingwedde,9,0,0,1,2,1,,2,0,0,5,3,0,36,0,2,9,2,0,,,0,50,0,3,0,0,1,7,0,3,0,0,0,1,0,0,1,0,2,0,1,,1,142,1,1,41,0,0,3,1,44,0,0,7,1,26,48,0,,1,,0,2,0,0
,het Bildt,1,4,1,0,0,0,5,,10,6,1,1,6,0,3,5,1,18,61,,,2,21,0,1,18,5,0,1,1,1,112,26,2,4,0,1,0,58,0,0,0,,0,1,11,6,2,0,8,2,7,0,18,4,2,17,0,20,0,,0,,1,0,0,1
,Boarnsterhim,1,6,0,0,1,0,1,3,,0,1,0,5,0,6,0,1,4,15,,,1,69,0,1,10,77,2,1,2,1,177,3,6,17,0,0,2,8,0,0,0,,0,0,9,32,0,0,38,0,12,1,60,2,4,29,1,1,2,,2,,4,0,0,0
,Ten Boer,0,2,0,13,7,12,0,1,0,,0,0,1,2,0,5,2,0,0,,,2,112,3,2,0,1,0,7,0,5,2,0,0,0,16,1,5,0,0,0,0,,12,0,1,0,0,0,0,9,0,1,0,3,5,1,1,0,0,,0,,0,1,0,4
,Borger-Odoorn,75,0,0,0,40,0,2,0,2,1,,42,0,5,0,3,212,2,1,,,0,135,1,7,1,1,14,6,0,1,13,0,0,0,1,1,1,0,4,4,19,,13,5,6,2,7,0,0,9,6,217,7,1,14,0,5,47,0,,2,,1,0,2,2
,Coevorden,18,1,0,1,41,0,1,1,1,0,44,,0,8,0,2,381,0,1,,,1,137,0,5,0,3,101,5,2,0,11,0,0,0,1,0,0,0,3,6,46,,9,2,4,0,1,0,4,0,2,8,2,0,9,1,12,40,0,,11,,3,1,51,0
,Dantumadiel,0,53,2,0,0,0,0,2,2,0,0,0,,0,130,2,2,13,3,,,0,44,1,0,3,6,1,0,40,0,70,11,0,1,0,0,1,2,0,0,0,,1,0,9,10,0,0,6,0,33,0,18,0,1,74,1,0,3,,0,,1,0,0,2
,Delfzijl,5,0,0,220,13,2,5,0,0,6,4,2,3,,0,24,16,1,0,,,0,219,5,7,2,0,7,19,2,6,21,0,0,0,37,4,1,0,14,1,3,,8,60,1,3,15,1,4,27,1,10,1,2,6,3,17,15,0,,0,,0,5,0,5
,Dongeradeel,0,34,9,0,9,0,1,3,3,0,0,3,96,0,,1,2,35,8,,,0,78,9,0,11,9,1,0,64,0,110,3,2,2,0,3,0,4,0,2,1,,8,2,1,8,2,4,2,0,19,3,12,2,0,31,3,2,0,,4,,5,0,0,0
,Eemsmond,2,1,0,22,7,18,2,1,0,4,3,3,2,39,1,,2,0,0,,,0,153,1,9,0,0,4,15,1,5,2,0,0,0,62,4,0,1,3,2,1,,6,13,1,0,0,0,0,5,3,3,2,0,9,2,5,1,0,,0,,0,48,1,7
,Emmen,48,6,1,2,85,1,5,6,1,6,216,394,0,9,5,3,,0,6,,,0,346,0,6,1,8,82,8,2,8,52,0,0,0,2,7,1,2,10,19,38,,16,24,12,4,15,0,4,1,19,95,7,4,23,2,21,131,1,,8,,5,3,17,4
,Ferwerderadiel,0,2,1,0,1,2,0,10,1,0,1,0,22,1,30,0,0,,12,,,0,14,1,0,7,7,0,1,2,0,67,43,0,2,0,0,0,4,0,0,0,,1,0,0,5,0,0,0,0,15,2,3,0,0,16,0,0,1,,0,,2,0,0,0
,Franekeradeel,0,1,1,0,3,0,0,48,12,0,2,2,10,7,6,0,5,1,,,,0,53,0,0,95,6,1,4,0,2,166,5,6,15,0,0,0,39,0,2,6,,1,1,6,8,2,2,4,0,11,2,63,5,5,14,0,0,2,,1,,0,0,0,0
,De Friese Meren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De Fryske Marren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gaasterlân-Sleat,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,2,1,,,,22,0,0,0,18,1,0,0,0,31,3,13,7,0,0,0,0,0,1,0,,2,0,1,5,0,0,17,0,2,0,71,2,0,1,0,0,0,,2,,1,0,0,0
,Groningen,135,43,6,50,364,180,18,8,45,129,83,69,22,131,44,89,236,12,24,,,29,,54,653,19,111,88,310,25,245,281,10,31,20,98,80,62,15,49,79,118,,328,174,54,79,40,9,71,268,167,121,184,27,597,43,174,53,7,,44,,46,141,52,240
,Grootegast,2,53,1,0,8,3,0,0,1,1,0,0,2,0,3,3,2,0,0,,,0,79,,3,0,4,2,1,6,27,9,0,0,0,1,7,36,1,1,0,0,,12,3,3,5,3,1,2,2,31,0,4,3,4,5,0,1,0,,0,,0,0,0,59
,Haren,9,0,0,6,32,4,1,0,1,6,0,1,0,5,0,5,5,0,0,,,0,394,0,,0,1,0,16,1,12,7,0,0,0,6,1,2,0,3,0,2,,39,12,0,4,1,0,1,11,4,5,1,3,76,0,4,0,0,,0,,0,3,2,12
,Harlingen,0,3,0,0,3,0,1,10,2,0,1,0,2,0,5,0,0,3,77,,,1,51,0,0,,12,1,3,2,5,105,5,0,1,0,1,0,15,0,0,0,,0,1,2,0,1,0,0,0,10,1,62,10,1,5,0,0,5,,0,,6,1,0,1
,Heerenveen,1,22,1,3,5,0,0,3,81,1,1,2,8,0,7,2,3,11,14,,,8,181,0,1,3,,8,3,6,1,129,9,31,4,1,0,4,5,0,12,4,,3,1,43,156,0,1,154,4,97,4,79,3,12,12,4,3,1,,7,,94,0,4,0
,Hoogeveen,20,1,0,0,77,0,2,0,6,2,7,71,0,7,1,1,110,0,4,,,0,134,0,5,1,5,,3,0,2,31,0,0,0,1,1,3,0,4,80,69,,15,1,11,2,4,0,4,2,7,5,2,1,11,3,4,7,1,,16,,3,0,216,1
,Hoogezand-Sappemeer,11,2,4,9,22,13,16,0,3,2,16,2,0,23,0,3,18,1,0,,,0,400,2,32,4,15,7,,1,18,16,0,0,2,5,0,2,0,74,0,5,,25,33,1,1,11,0,1,74,10,27,8,2,50,2,94,6,0,,2,,0,8,0,3
,Kollumerland en Nieuwkruisland,2,68,0,0,1,0,0,3,10,0,0,1,52,0,34,0,2,5,2,,,0,48,7,2,1,9,0,0,,6,50,0,1,3,0,1,2,4,0,0,1,,1,1,1,7,1,1,2,2,25,0,10,0,1,29,0,0,0,,1,,1,0,0,7
,Leek,5,2,2,3,19,6,1,0,2,5,1,4,1,3,0,5,6,0,2,,,0,259,31,11,1,1,1,15,4,,21,0,0,0,5,1,59,0,1,0,3,,79,13,10,2,2,0,0,6,19,2,2,1,12,2,18,2,0,,2,,1,3,0,34
,Leeuwarden,15,46,27,6,26,2,7,72,206,1,9,6,37,6,70,3,40,40,102,,,15,398,3,9,54,123,22,12,33,15,,164,21,83,8,0,5,105,1,12,17,,19,11,49,65,3,9,39,4,157,10,227,28,29,232,18,5,14,,16,,29,3,14,6
,Leeuwarderadeel,0,1,1,0,1,0,0,21,10,0,0,1,6,0,6,0,0,7,4,,,0,33,0,0,5,3,0,0,2,0,164,,2,0,0,0,1,15,0,0,0,,0,0,0,4,0,0,3,0,8,0,19,2,0,14,0,0,2,,0,,3,0,1,1
,Lemsterland,0,3,0,1,0,1,2,0,4,0,0,0,0,0,0,0,3,0,1,,,20,35,0,0,4,29,0,3,1,0,34,1,,5,0,0,0,2,0,2,0,,0,0,7,2,0,0,39,0,4,0,32,2,2,5,2,0,1,,2,,12,0,2,0
,Littenseradiel,0,1,0,0,0,0,2,1,15,0,0,0,3,0,2,0,0,8,21,,,1,46,1,1,7,4,1,0,0,0,56,2,0,,0,0,0,4,0,2,0,,0,2,2,2,0,0,13,1,7,0,72,0,1,4,0,1,2,,0,,1,0,0,4
,Loppersum,4,0,0,35,4,32,3,0,0,21,1,1,0,24,0,56,2,0,0,,,0,102,5,13,0,0,0,7,0,0,6,0,0,0,,4,0,0,2,0,5,,0,8,0,2,0,0,0,12,2,1,1,0,6,0,6,2,0,,0,,1,9,1,0
,De Marne,1,5,0,2,8,12,0,0,1,4,0,1,0,7,8,17,3,0,0,,,0,113,2,3,2,0,0,1,0,4,6,0,0,0,6,,2,0,2,0,2,,3,3,0,2,4,3,0,1,4,1,0,1,8,0,0,4,1,,0,,0,61,0,13
,Marum,0,8,0,0,2,1,0,1,0,0,2,1,0,0,0,0,1,2,1,,,0,79,29,1,0,3,1,3,0,84,4,2,1,0,2,1,,0,1,0,2,,17,4,14,17,7,0,1,0,18,3,5,0,1,5,4,0,0,,4,,0,1,0,18
,Menameradiel,0,6,1,0,2,0,0,31,9,0,0,1,2,0,3,0,1,13,56,,,0,33,1,1,11,5,0,0,2,1,168,6,1,12,0,0,2,,0,0,1,,0,5,5,2,0,0,5,0,6,0,13,2,1,4,0,1,0,,0,,0,0,2,0
,Menterwolde,2,1,0,1,8,0,2,0,0,1,1,1,2,6,0,0,5,0,0,,,0,72,6,13,0,1,1,57,0,2,2,3,0,0,5,0,0,3,,0,0,,2,40,0,0,13,0,0,21,1,13,0,1,8,1,102,8,0,,0,,0,0,1,4
,Meppel,8,1,1,1,31,0,2,0,1,0,1,5,0,0,0,1,12,0,2,,,3,86,0,2,0,10,53,2,0,0,15,0,2,0,0,0,1,0,0,,9,,17,1,3,3,2,0,1,3,8,2,3,1,3,5,1,1,0,,54,,2,0,85,0
,Midden-Drenthe,25,0,0,7,239,2,1,0,3,0,17,41,1,1,2,2,31,1,1,,,0,159,3,11,0,6,107,9,1,5,18,0,3,0,2,0,0,0,0,10,,,19,1,36,0,2,0,1,0,2,12,4,0,20,1,9,6,0,,30,,4,0,16,2
,Midden-Groningen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Noordenveld,20,3,0,2,87,1,0,0,0,6,2,1,0,2,1,2,15,0,1,,,0,347,12,25,0,6,10,20,2,106,23,0,1,0,1,10,14,0,2,2,17,,,5,33,9,2,0,2,1,8,9,9,1,68,2,6,5,0,,8,,4,2,0,16
,Oldambt,16,0,0,13,28,0,108,0,0,2,14,5,0,31,4,15,21,1,4,,,0,273,3,8,1,1,9,50,2,10,25,0,1,1,8,1,3,0,33,0,6,,9,,4,2,131,0,0,18,7,53,12,2,14,0,88,29,0,,2,,1,5,3,7
,Ooststellingwerf,8,13,0,0,73,3,1,1,8,1,1,1,3,0,7,1,10,1,7,,,0,124,3,1,2,43,2,2,1,7,58,1,2,0,1,1,5,2,2,4,35,,33,1,,58,2,0,7,0,63,4,11,2,4,9,2,0,5,,12,,38,0,3,2
,Opsterland,2,23,1,1,4,0,0,1,34,1,0,0,11,1,1,0,5,3,3,,,8,123,8,8,3,130,1,2,5,3,66,1,4,7,0,1,17,1,3,3,3,,13,1,65,,0,1,11,3,262,4,24,4,10,12,5,4,1,,12,,20,2,2,0
,Pekela,9,4,0,3,12,0,26,0,0,0,4,4,0,26,2,0,7,0,0,,,1,104,1,2,2,0,3,22,0,0,5,0,0,0,1,2,2,0,13,0,0,,3,139,4,3,,0,1,1,1,37,5,0,2,1,62,24,0,,0,,0,0,3,1
,Schiermonnikoog,0,1,0,0,2,0,0,0,0,0,0,0,3,2,3,0,0,0,2,,,0,4,2,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,,0,1,0,0,1,1,0,0,0,0,0,,0,,0,5,0,0
,Skarsterlân,2,3,0,0,0,3,0,0,36,0,0,2,2,1,2,1,0,2,8,,,17,110,0,3,3,179,2,5,1,3,45,0,42,6,0,0,0,3,0,1,1,,3,1,16,23,0,6,,2,18,2,97,4,2,3,0,1,0,,0,,31,0,0,0
,Slochteren,8,1,0,20,10,0,5,0,0,18,0,0,0,24,0,3,5,0,0,,,0,187,2,7,0,0,0,93,1,2,3,0,0,1,6,2,0,0,23,0,0,,7,27,0,1,1,1,0,,2,3,1,1,16,0,11,2,1,,2,,0,2,0,0
,Smallingerland,6,124,3,1,25,0,1,7,29,1,1,4,23,3,24,0,13,9,12,,,4,276,18,2,10,88,11,10,18,12,199,6,17,7,5,1,11,4,1,10,9,,7,3,63,230,2,1,18,2,,4,44,4,9,97,1,12,3,,6,,15,3,0,4
,Stadskanaal,43,0,0,4,34,2,13,3,0,2,158,8,0,13,0,2,86,0,3,,,0,206,1,9,0,1,10,18,0,8,16,0,0,3,1,0,2,0,12,2,9,,2,55,4,0,54,0,1,4,0,,9,2,20,12,45,132,0,,1,,1,2,0,3
,Súdwest-Fryslân,1,6,3,0,5,0,0,15,76,0,1,4,9,7,9,0,5,2,67,,,71,222,1,1,73,80,2,6,6,12,304,10,29,71,0,0,1,16,2,10,2,,4,7,16,33,1,1,73,1,47,3,,25,4,34,1,0,5,,4,,13,0,1,2
,Terschelling,0,2,1,0,4,1,1,1,2,0,0,0,2,1,2,0,2,0,2,,,0,16,1,4,16,8,1,0,0,1,29,0,1,0,0,1,0,1,0,2,1,,0,0,0,1,0,0,1,1,0,1,23,,1,3,3,0,0,,1,,0,0,1,1
,Tynaarlo,93,0,0,4,136,5,4,3,0,1,17,6,2,9,4,3,19,0,5,,,0,515,2,62,0,2,12,38,0,15,34,1,4,0,2,3,3,0,9,2,11,,72,11,10,8,0,0,0,9,5,17,3,3,,4,9,3,1,,0,,1,9,4,4
,Tytsjerksteradiel,0,48,6,0,5,0,0,10,14,0,0,8,63,7,28,0,11,19,11,,,1,88,3,2,16,36,2,4,25,10,321,12,1,8,0,2,7,16,0,2,3,,2,7,17,27,0,0,5,0,110,1,31,1,1,,0,16,1,,1,,3,4,0,1
,Veendam,42,0,0,7,24,4,14,0,1,2,8,1,0,16,0,5,11,0,0,,,0,179,2,1,0,2,8,64,1,9,15,0,0,0,3,5,2,0,101,1,3,,7,73,0,0,55,0,1,11,11,49,9,0,15,3,,17,0,,3,,2,0,1,3
,Vlagtwedde,11,0,0,3,14,1,36,5,0,1,38,8,0,12,1,1,197,2,1,,,0,97,1,1,0,4,15,8,0,3,18,0,0,0,0,0,0,0,6,0,6,,13,38,0,1,15,0,0,5,1,128,3,0,10,12,17,,0,,2,,3,1,3,1
,Vlieland,0,0,0,0,1,0,0,0,3,0,0,0,2,0,3,0,1,1,2,,,1,8,0,0,14,3,0,1,0,0,17,1,0,0,0,0,0,2,0,0,0,,0,2,0,0,0,0,0,0,1,0,5,1,0,1,0,0,,,1,,0,0,0,0
,Waadhoeke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Westerveld,2,2,0,0,18,0,0,0,3,0,4,14,0,3,1,0,25,0,0,,,1,73,1,0,0,9,33,2,0,2,16,0,0,0,0,0,1,0,0,100,37,,1,0,28,1,0,0,2,0,7,1,2,0,6,4,3,3,0,,,,26,1,28,0
,Westerwolde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weststellingwerf,0,0,1,1,7,2,0,1,13,3,2,6,1,0,2,0,7,3,2,,,0,55,0,0,2,76,7,0,0,2,47,6,18,5,2,2,4,1,0,13,4,,3,5,34,20,0,0,24,0,28,4,15,0,1,8,0,1,0,,45,,,0,1,1
,Winsum,3,0,0,4,5,20,1,0,0,5,4,2,0,2,0,37,3,0,0,,,0,200,1,14,0,1,0,4,0,4,6,0,0,0,8,41,2,0,4,2,5,,5,4,0,0,0,2,1,3,0,1,1,2,4,0,1,1,0,,0,,0,,0,14
,De Wolden,2,0,0,0,13,0,0,0,1,0,10,6,4,0,0,0,20,0,0,,,0,66,0,2,2,3,157,0,0,0,9,0,0,0,0,0,0,0,0,150,13,,3,3,2,3,1,0,0,0,0,1,1,0,0,0,2,1,2,,50,,0,0,,0
,Zuidhorn,0,14,5,2,11,2,0,0,0,4,1,2,3,2,3,9,2,1,1,,,0,248,49,8,0,0,11,8,4,64,13,0,0,0,4,11,2,0,2,0,5,,12,12,6,4,2,0,0,2,4,4,3,2,9,2,8,1,0,,0,,2,11,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
regio van aankomst,Aa en Hunze,,1,0,1,141,0,2,1,6,3,62,17,0,0,2,1,32,0,4,,,0,247,0,12,0,0,19,5,0,4,13,0,0,0,1,2,1,2,5,3,22,,24,19,7,1,3,0,1,5,14,71,8,3,78,4,32,3,0,,4,,2,3,4,1
,Achtkarspelen,0,,7,1,6,1,0,3,9,0,0,3,48,0,21,1,1,1,2,,,2,64,37,0,1,14,2,3,65,3,56,2,1,3,0,1,6,2,0,1,1,,2,0,17,19,0,1,6,0,118,0,14,2,5,100,4,1,0,,4,,9,1,1,19
,Ameland,1,0,,0,0,0,0,0,2,0,4,0,6,0,7,4,1,2,1,,,0,5,0,0,2,2,0,3,0,0,49,5,0,0,0,0,0,1,4,1,0,,1,0,0,5,1,0,1,0,0,0,0,0,1,0,1,0,0,,0,,0,0,0,5
,Appingedam,4,0,0,,10,1,1,0,0,5,1,1,0,149,0,7,1,1,0,,,0,105,0,5,1,1,1,12,0,3,2,0,0,0,14,0,0,0,13,3,0,,1,17,0,1,0,0,0,15,0,4,2,0,2,0,5,0,0,,2,,1,1,0,2
,Assen,123,7,2,0,,1,1,1,2,6,43,34,0,16,5,3,85,0,7,,,0,584,8,29,3,7,71,21,1,15,59,2,2,0,5,9,4,2,7,11,210,,80,29,72,15,9,1,1,8,9,22,7,2,89,1,22,9,0,,37,,5,4,19,9
,Bedum,6,0,1,8,8,,0,0,0,13,0,0,2,5,0,8,0,0,0,,,0,163,1,14,0,2,0,7,0,1,5,0,0,0,21,12,2,0,1,0,0,,2,6,3,6,0,1,0,3,5,3,0,0,14,0,4,1,0,,0,,0,34,0,7
,Bellingwedde,5,1,0,1,0,0,,0,0,1,5,1,0,5,3,0,5,0,1,,,0,54,1,2,0,1,0,1,1,0,4,0,0,0,0,1,0,0,4,2,1,,0,124,0,3,19,0,0,2,0,18,2,0,5,0,8,26,0,,2,,0,0,2,0
,het Bildt,0,2,2,0,0,2,0,,6,0,0,2,6,2,11,3,3,21,44,,,4,38,6,0,10,7,5,6,3,2,108,49,1,10,0,4,2,41,2,0,0,,0,11,6,5,7,0,7,0,21,0,25,2,6,24,0,5,0,,0,,2,1,1,0
,Boarnsterhim,0,4,7,0,6,1,1,3,,0,0,1,3,2,19,0,5,0,7,,,0,66,2,0,8,75,4,1,2,3,170,3,11,21,1,0,1,10,0,3,2,,2,6,5,32,0,0,24,0,34,0,94,4,1,8,3,0,1,,5,,8,2,0,0
,Ten Boer,2,0,0,10,2,9,0,0,0,,0,0,0,6,0,7,3,0,0,,,0,117,1,1,0,0,0,6,1,3,1,0,0,0,29,4,1,0,0,0,2,,11,9,0,5,0,0,0,8,0,1,1,0,8,1,1,4,0,,0,,0,3,2,3
,Borger-Odoorn,41,0,1,0,33,2,1,0,0,1,,47,1,2,0,4,253,0,2,,,2,165,0,5,1,0,19,1,0,3,9,0,0,0,0,0,0,0,7,5,18,,14,4,4,2,9,0,0,0,3,190,2,3,4,2,14,32,2,,8,,1,1,4,0
,Coevorden,15,4,0,1,40,3,5,0,2,0,71,,6,1,7,0,361,0,0,,,0,115,0,2,0,7,69,8,7,6,23,0,1,0,1,2,1,2,4,7,13,,6,2,5,2,2,0,4,0,5,16,11,2,6,14,6,15,2,,13,,1,2,3,1
,Dantumadiel,1,45,4,1,1,0,0,0,2,0,0,0,,1,115,2,0,11,4,,,0,41,4,0,4,7,0,0,69,0,94,1,4,6,0,1,0,3,0,4,0,,2,0,2,5,0,0,5,0,23,0,11,0,2,101,0,0,1,,0,,1,1,0,2
,Delfzijl,5,0,0,220,15,2,5,0,2,1,9,3,0,,1,24,20,0,5,,,0,230,3,10,6,9,9,22,0,4,13,0,0,0,44,5,0,0,8,0,4,,9,80,3,2,14,1,0,49,5,16,2,2,15,1,13,6,1,,0,,1,17,4,5
,Dongeradeel,0,15,3,0,3,0,0,6,12,0,0,1,118,2,,4,4,35,8,,,0,78,2,0,4,9,1,2,36,0,109,11,1,5,0,1,0,5,0,1,0,,5,0,7,12,0,4,1,1,22,2,22,6,0,29,0,0,7,,1,,6,0,0,2
,Eemsmond,3,1,0,21,14,15,1,0,0,6,8,1,1,33,2,,3,1,2,,,0,143,1,5,0,2,0,3,2,4,5,0,0,0,52,13,0,0,3,0,12,,9,10,0,0,0,0,0,11,3,6,0,2,3,0,10,0,0,,0,,0,55,1,5
,Emmen,30,1,1,2,115,4,9,0,2,1,187,358,8,11,8,2,,1,1,,,7,412,1,6,1,12,63,16,4,5,51,1,0,0,5,1,0,1,5,16,52,,16,16,11,2,9,0,2,4,9,60,7,2,21,8,23,95,1,,15,,1,0,10,0
,Ferwerderadiel,0,5,0,0,1,0,0,11,6,0,3,1,12,1,47,1,0,,13,,,0,11,0,0,5,6,0,0,2,1,70,44,0,2,0,0,0,5,0,0,2,,0,1,2,0,0,0,1,0,3,0,2,0,2,14,5,0,1,,0,,4,0,0,0
,Franekeradeel,2,1,5,0,2,0,0,31,12,0,2,0,2,1,15,0,13,8,,,,1,64,0,1,99,6,5,2,0,6,171,9,1,25,0,0,0,45,0,0,1,,4,0,2,3,0,1,11,0,12,1,58,6,8,16,0,0,4,,4,,6,0,0,4
,De Friese Meren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De Fryske Marren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gaasterlân-Sleat,0,1,0,0,0,0,0,0,3,0,1,0,0,0,2,0,1,0,1,,,,39,0,0,2,14,0,0,0,0,20,0,15,0,0,0,1,0,0,0,1,,0,0,0,4,0,0,22,0,5,0,79,1,0,1,0,0,0,,0,,1,1,0,0
,Groningen,175,50,15,69,412,154,30,21,53,141,84,84,14,126,36,94,253,5,32,,,13,,40,649,16,112,104,271,26,265,313,11,23,25,98,67,67,17,48,86,116,,344,154,80,93,22,7,86,157,154,92,173,13,613,47,185,53,9,,33,,41,162,61,315
,Grootegast,1,37,2,0,1,2,1,0,1,3,1,0,5,0,2,1,3,1,0,,,0,79,,4,0,0,1,4,13,29,8,1,0,0,0,5,37,1,2,1,1,,11,1,8,2,1,0,0,1,26,6,1,0,1,10,0,0,0,,0,,0,0,0,83
,Haren,9,0,0,3,32,7,2,0,0,8,6,4,0,4,0,2,5,0,1,,,0,436,0,,0,1,3,25,0,9,11,0,0,0,1,1,6,1,3,0,7,,10,10,2,2,0,0,2,8,7,2,4,2,118,1,3,1,0,,0,,0,1,0,11
,Harlingen,0,3,2,0,3,0,0,6,7,0,2,0,3,1,6,0,2,0,76,,,2,54,0,1,,7,1,0,1,0,102,3,4,5,0,0,0,13,0,2,0,,1,1,5,6,1,0,1,0,7,5,50,12,0,10,0,1,4,,1,,2,0,1,1
,Heerenveen,6,6,0,0,12,1,0,1,72,0,0,7,6,1,1,0,6,1,8,,,9,158,3,1,3,,9,5,3,2,130,5,28,1,0,0,3,5,0,9,9,,9,3,61,131,0,1,171,1,78,0,61,6,2,17,3,0,4,,10,,102,0,3,3
,Hoogeveen,16,2,0,1,66,2,2,0,0,0,8,90,0,12,0,1,69,0,1,,,0,173,0,3,1,10,,6,0,3,27,0,0,3,0,0,4,0,0,53,79,,25,7,3,4,6,0,1,0,6,11,8,0,6,4,4,2,0,,26,,6,2,140,0
,Hoogezand-Sappemeer,23,3,3,14,26,2,7,0,4,2,14,4,0,17,2,4,17,0,1,,,0,379,1,25,1,1,7,,1,15,16,0,2,0,10,7,5,0,37,8,8,,15,50,2,2,11,0,6,59,13,15,4,1,44,3,80,8,0,,4,,1,11,2,8
,Kollumerland en Nieuwkruisland,1,56,1,0,2,0,0,0,6,0,0,1,60,0,32,2,0,8,2,,,0,41,3,0,0,7,0,0,,2,32,0,0,0,0,3,1,1,0,0,0,,1,1,0,2,0,4,3,2,21,0,6,0,0,17,2,0,0,,0,,2,1,0,9
,Leek,0,2,1,4,15,1,1,0,0,0,3,0,0,5,8,1,4,2,2,,,1,248,24,9,0,3,1,6,10,,13,0,3,0,0,1,75,0,7,0,7,,96,9,5,13,2,0,1,2,19,6,11,2,15,9,3,2,1,,0,,2,1,0,36
